step,q_target_0,q_target_1,q_target_2,q_target_3,q_target_4,q_target_5,q_target_6,gripper_norm,block_x,block_y,block_z
0,0.007362561704725268,-1.0532392778862074,0.014055610656449335,1.983103568899475,-0.011089864799875504,0.7339941686918074,0.011976346190904374,0.0171332827988863,0.6,-0.15,0.2849045486152053
1,0.010839426291325838,-1.0981976953868142,0.03169062136450829,1.9595800665642278,-0.0034227347101336014,0.7110935002224612,0.011277100970250142,0.014255606878817082,0.6,-0.15,0.28490462996410054
2,0.06774128948525204,-1.1053428327406474,-0.026650759495935317,1.8995580035823014,0.055316446295174015,0.7467046435615026,-0.04662130859910585,0.011122575881659985,0.6,-0.15,0.2849046537789269
3,0.20635487509203954,-1.0384928042352946,-0.13617267865664573,1.746229544709932,0.18788881529380447,0.8833926231006325,-0.18718691671767562,0.005711610737085343,0.6,-0.15,0.2849046598325226
4,0.3012160568099811,-0.9557391542745411,-0.20299029550690628,1.6207958267997369,0.31865851432563924,0.9772318914051512,-0.32968366576719643,0.008418076590299606,0.6,-0.15,0.2849046613712183
5,0.3688770137938724,-0.852628645292434,-0.2469536122090259,1.481236662778174,0.47394575855514587,1.1100298997654385,-0.4738447876934617,0.008754269278138877,0.6,-0.15,0.28490466176232226
6,0.40991654789634546,-0.7516312293225873,-0.2655335003565651,1.3538415491585698,0.6260650943143469,1.20463314936294,-0.6056350946176183,0.004510369204670191,0.6,-0.15,0.2849046618617326
7,0.4396322890567451,-0.6513318512967841,-0.27964781632788505,1.2476075248186294,0.7538256144127298,1.269781711603546,-0.7312464393773308,0.006573590553313494,0.6,-0.15,0.28490466188700053
8,0.4592465276186656,-0.5266229771084419,-0.29689698299483624,1.115585222236074,0.8760587690457726,1.3147093298542303,-0.8795970301002964,0.011873593935102225,0.6,-0.15,0.2849046618934232
9,0.4671453066215727,-0.4110680060138225,-0.3042011516406029,0.9932776022530144,0.9610750902958964,1.344007751160611,-1.0044945661306781,0.013739831338047981,0.6,-0.15,0.2849046618950556
10,0.4956468643799967,0.11995396794288338,-0.36145485752945783,0.5424075721084134,1.1032367177201217,1.401718835325453,-1.5078419970887142,0.002429657374083996,0.6,-0.15,0.2849046618954708
11,0.4942760312207066,0.2788998276270691,-0.3711254482017723,0.446218583629302,1.110551126928422,1.4047640584885743,-1.5954770249321482,0.003987233955144882,0.6,-0.15,0.28490466189557623
12,0.4927533618006883,0.4620610252966979,-0.37618344073791143,0.3473688226252763,1.1075326956255942,1.4011629161334374,-1.6581323881261687,0.004110799591630698,0.6,-0.15,0.28490466189560304
13,0.5011180366047292,0.6709418065229282,-0.381170430923107,0.27525876793890736,1.102918641821789,1.4061107558003199,-1.697709067362474,0.0008484224579930306,0.6,-0.15,0.2849046618956097
14,0.49628849503017136,0.8735387325758242,-0.3979757888505373,0.20906831254119534,1.1065181733234941,1.395727549799591,-1.7277618023367138,0.004159159135401249,0.6,-0.15,0.2849046618956112
15,0.49383437179711986,1.0218511281729656,-0.41261654408890336,0.1511089678453552,1.1044875352556793,1.3839244882237662,-1.74538497626371,0.0014561198672354222,0.6,-0.15,0.2849046618956112
16,0.49183955747513686,1.0454817211117051,-0.4204294454601032,0.1326732262066857,1.103196418511283,1.3778895585682256,-1.7526066561287819,0.00042090382951498034,0.6,-0.15,0.2849046618956112
17,0.49392886833535954,1.0466052187133859,-0.4283071827249685,0.11871223566389455,1.1037834813482028,1.3723527739790151,-1.7617696615406702,5.4169840157032014e-05,0.6,-0.15,0.2849046618956112
18,0.49295924433887284,1.0461397048351062,-0.4267159724705094,0.10259777983566301,1.104556516809584,1.3692245266381722,-1.768942189563958,0.0,0.6,-0.15,0.2849046618956112
19,0.49865259743233525,1.041477463414348,-0.4297346294925739,0.1041864665624386,1.1060135079760747,1.3681678704870677,-1.7741785581499268,0.001336904503941536,0.6,-0.15,0.2849046618956112
