checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
cross_embodiment_on_franka_299999,0,move the red block to the far side,0,False,0.6,0.0,False,False,35,600
cross_embodiment_on_franka_299999,0,move the red block to the far side,1,False,0.6,0.0,False,False,120,600
cross_embodiment_on_franka_299999,0,move the red block to the far side,2,False,0.6,0.0,False,False,157,600
cross_embodiment_on_franka_299999,0,move the red block to the far side,3,False,0.6,0.0,False,False,219,600
cross_embodiment_on_franka_299999,0,move the red block to the far side,4,False,0.6,0.0,False,False,45,600
cross_embodiment_on_franka_299999,0,move the red block to the far side,5,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,0,move the red block to the far side,6,False,0.6,0.0,False,False,27,600
cross_embodiment_on_franka_299999,0,move the red block to the far side,7,False,0.6,0.0,False,False,26,600
cross_embodiment_on_franka_299999,0,move the red block to the far side,8,False,0.6,0.0,False,False,37,600
cross_embodiment_on_franka_299999,0,move the red block to the far side,9,False,0.6,0.0,False,False,36,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,0,False,0.75,0.0,False,False,41,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,1,False,0.75,0.0,False,False,30,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,2,False,0.75,0.0,False,False,20,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,3,False,0.75,0.0,False,False,30,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,4,False,0.75,0.0,False,False,70,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,5,False,0.75,0.0,False,False,30,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,6,False,0.75,0.0,False,False,30,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,7,False,0.75,0.0,False,False,50,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,8,False,0.75,0.0,False,False,40,600
cross_embodiment_on_franka_299999,1,move the red block to the near side,9,False,0.75,0.0,False,False,40,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,0,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,1,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,2,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,3,False,0.6,0.0,False,False,20,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,4,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,5,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,6,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,7,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,8,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,2,move the blue block to the far side,9,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,0,False,0.7514,0.0014,False,False,70,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,1,False,0.7798,0.0298,False,False,20,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,2,False,0.7569,0.0069,False,False,50,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,3,False,0.7531,0.0031,False,False,50,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,4,False,0.7474,-0.0026,True,True,20,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,5,False,0.7778,0.0278,False,True,20,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,6,False,0.755,0.005,False,False,20,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,7,False,0.7485,-0.0015,True,False,170,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,8,False,0.762,0.012,False,False,20,600
cross_embodiment_on_franka_299999,3,move the blue block to the near side,9,False,0.7532,0.0032,False,False,20,600
cross_embodiment_on_franka_299999,4,move the green block to the far side,0,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,4,move the green block to the far side,1,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,4,move the green block to the far side,2,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,4,move the green block to the far side,3,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,4,move the green block to the far side,4,False,0.6,0.0,False,False,,600
cross_embodiment_on_franka_299999,4,move the green block to the far side,5,False,0.6,0.0,False,False,,600
