checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
cross_embodiment_on_g1_299999,0,move the red block to the far side,0,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,0,move the red block to the far side,1,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,0,move the red block to the far side,2,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,0,move the red block to the far side,3,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,0,move the red block to the far side,4,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,0,move the red block to the far side,5,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,0,move the red block to the far side,6,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,0,move the red block to the far side,7,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,0,move the red block to the far side,8,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,0,move the red block to the far side,9,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,0,False,0.7329,-0.0171,True,False,33,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,1,True,0.6547,-0.0953,True,False,36,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,2,False,0.7008,-0.0492,True,False,25,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,3,False,0.6697,-0.0803,True,False,28,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,4,False,0.7485,-0.0015,True,False,29,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,5,False,0.7035,-0.0465,True,True,25,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,6,False,0.7454,-0.0046,True,False,35,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,7,False,0.733,-0.017,True,False,34,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,8,False,0.7177,-0.0323,True,True,21,600
cross_embodiment_on_g1_299999,1,move the red block to the near side,9,False,0.7088,-0.0412,True,False,25,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,0,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,1,False,0.6,0.0,True,False,269,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,2,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,3,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,4,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,5,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,6,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,7,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,8,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,2,move the blue block to the far side,9,False,0.6,0.0,True,False,,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,0,False,0.6,0.0,False,False,42,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,1,False,0.6,0.0,False,False,36,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,2,False,0.6,0.0,False,False,43,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,3,False,0.6,0.0,False,False,45,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,4,False,0.6,0.0,False,False,83,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,5,False,0.6,0.0,False,False,35,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,6,False,0.6,0.0,False,False,43,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,7,False,0.6,0.0,False,False,32,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,8,False,0.6,0.0,False,False,44,600
cross_embodiment_on_g1_299999,4,move the green block to the far side,9,False,0.6,0.0,False,False,31,600
