checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
franka_run2_99999,0,move the red block to the far side,0,False,0.6572,0.0572,True,False,56,600
franka_run2_99999,0,move the red block to the far side,1,True,0.7001,0.1001,True,True,58,600
franka_run2_99999,0,move the red block to the far side,2,True,0.7566,0.1566,True,True,56,600
franka_run2_99999,0,move the red block to the far side,3,False,0.6594,0.0594,True,False,55,600
franka_run2_99999,0,move the red block to the far side,4,False,0.5648,-0.0352,False,False,55,600
franka_run2_99999,0,move the red block to the far side,5,True,0.7212,0.1212,True,True,58,600
franka_run2_99999,0,move the red block to the far side,6,False,0.5586,-0.0414,False,True,60,600
franka_run2_99999,0,move the red block to the far side,7,False,0.6974,0.0974,True,True,58,600
franka_run2_99999,0,move the red block to the far side,8,False,0.507,-0.093,False,False,60,600
franka_run2_99999,0,move the red block to the far side,9,False,0.6698,0.0698,True,True,62,600
franka_run2_99999,1,move the red block to the near side,0,False,0.7804,0.0304,False,True,50,600
franka_run2_99999,1,move the red block to the near side,1,False,0.7539,0.0039,False,False,57,600
franka_run2_99999,1,move the red block to the near side,2,False,0.782,0.032,False,True,52,600
franka_run2_99999,1,move the red block to the near side,3,False,0.7918,0.0418,False,True,55,600
franka_run2_99999,1,move the red block to the near side,4,True,0.6369,-0.1131,True,True,53,600
franka_run2_99999,1,move the red block to the near side,5,False,0.7247,-0.0253,True,True,56,600
franka_run2_99999,1,move the red block to the near side,6,False,0.7282,-0.0218,True,True,49,600
franka_run2_99999,1,move the red block to the near side,7,True,0.5475,-0.2025,True,True,53,600
franka_run2_99999,1,move the red block to the near side,8,False,0.7544,0.0044,False,True,49,600
franka_run2_99999,1,move the red block to the near side,9,False,0.7839,0.0339,False,False,55,600
franka_run2_99999,2,move the blue block to the far side,0,True,0.826,0.226,True,True,,600
franka_run2_99999,2,move the blue block to the far side,1,False,0.6711,0.0711,True,True,488,600
franka_run2_99999,2,move the blue block to the far side,2,False,0.6735,0.0735,True,True,80,600
franka_run2_99999,2,move the blue block to the far side,3,False,0.6537,0.0537,True,True,90,600
franka_run2_99999,2,move the blue block to the far side,4,False,0.6449,0.0449,True,True,,600
franka_run2_99999,2,move the blue block to the far side,5,False,0.6353,0.0353,True,True,,600
franka_run2_99999,2,move the blue block to the far side,6,False,0.6313,0.0313,True,False,,600
franka_run2_99999,2,move the blue block to the far side,7,False,0.6368,0.0368,True,True,,600
franka_run2_99999,2,move the blue block to the far side,8,True,0.8088,0.2088,True,True,,600
franka_run2_99999,2,move the blue block to the far side,9,False,0.6347,0.0347,True,True,,600
franka_run2_99999,3,move the blue block to the near side,0,False,0.7876,0.0376,False,True,330,600
franka_run2_99999,3,move the blue block to the near side,1,True,0.5559,-0.1941,True,True,91,600
franka_run2_99999,3,move the blue block to the near side,2,False,0.8034,0.0534,False,False,184,600
franka_run2_99999,3,move the blue block to the near side,3,False,0.7912,0.0412,False,True,125,600
franka_run2_99999,3,move the blue block to the near side,4,False,0.7237,-0.0263,True,False,70,600
franka_run2_99999,3,move the blue block to the near side,5,False,0.7873,0.0373,False,False,300,600
franka_run2_99999,3,move the blue block to the near side,6,True,0.5829,-0.1671,True,True,100,600
franka_run2_99999,3,move the blue block to the near side,7,False,0.7931,0.0431,False,False,320,600
franka_run2_99999,3,move the blue block to the near side,8,True,0.5789,-0.1711,True,True,80,600
franka_run2_99999,3,move the blue block to the near side,9,False,0.7858,0.0358,False,False,226,600
franka_run2_99999,4,move the green block to the far side,0,True,0.738,0.138,True,True,65,600
franka_run2_99999,4,move the green block to the far side,1,False,0.6916,0.0916,True,True,64,600
franka_run2_99999,4,move the green block to the far side,2,False,0.5994,-0.0006,False,False,550,600
franka_run2_99999,4,move the green block to the far side,3,False,0.5997,-0.0003,False,False,,600
franka_run2_99999,4,move the green block to the far side,4,False,0.5982,-0.0018,False,False,239,600
franka_run2_99999,4,move the green block to the far side,5,False,0.5998,-0.0002,False,False,448,600
franka_run2_99999,4,move the green block to the far side,6,False,0.598,-0.002,False,False,,600
franka_run2_99999,4,move the green block to the far side,7,False,0.5462,-0.0538,False,False,57,600
franka_run2_99999,4,move the green block to the far side,8,False,0.5989,-0.0011,False,False,534,600
franka_run2_99999,4,move the green block to the far side,9,True,0.7121,0.1121,True,True,55,600
franka_run2_99999,5,move the green block to the near side,0,False,0.7099,-0.0401,True,True,25,600
franka_run2_99999,5,move the green block to the near side,1,False,0.8143,0.0643,False,False,58,600
franka_run2_99999,5,move the green block to the near side,2,True,0.5634,-0.1866,True,True,63,600
franka_run2_99999,5,move the green block to the near side,3,False,0.8245,0.0745,False,True,54,600
franka_run2_99999,5,move the green block to the near side,4,False,0.6721,-0.0779,True,True,65,600
franka_run2_99999,5,move the green block to the near side,5,False,0.8008,0.0508,False,True,101,600
franka_run2_99999,5,move the green block to the near side,6,False,0.8319,0.0819,False,True,99,600
franka_run2_99999,5,move the green block to the near side,7,False,0.7956,0.0456,False,True,104,600
franka_run2_99999,5,move the green block to the near side,8,False,0.8407,0.0907,False,True,85,600
franka_run2_99999,5,move the green block to the near side,9,False,0.8206,0.0706,False,True,74,600
