checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
franka_solo_99999,0,move the red block to the far side,0,True,0.7028,0.1028,True,True,56,600
franka_solo_99999,0,move the red block to the far side,1,True,0.759,0.159,True,True,55,600
franka_solo_99999,0,move the red block to the far side,2,False,0.67,0.07,True,False,56,600
franka_solo_99999,0,move the red block to the far side,3,True,0.7111,0.1111,True,True,53,600
franka_solo_99999,0,move the red block to the far side,4,False,0.5416,-0.0584,False,True,55,600
franka_solo_99999,0,move the red block to the far side,5,True,0.7234,0.1234,True,True,56,600
franka_solo_99999,0,move the red block to the far side,6,True,0.7395,0.1395,True,True,56,600
franka_solo_99999,0,move the red block to the far side,7,True,0.7385,0.1385,True,True,53,600
franka_solo_99999,0,move the red block to the far side,8,True,0.7091,0.1091,True,True,57,600
franka_solo_99999,0,move the red block to the far side,9,False,0.5102,-0.0898,False,True,55,600
franka_solo_99999,1,move the red block to the near side,0,False,0.7836,0.0336,False,True,50,600
franka_solo_99999,1,move the red block to the near side,1,False,0.7834,0.0334,False,True,50,600
franka_solo_99999,1,move the red block to the near side,2,False,0.796,0.046,False,False,48,600
franka_solo_99999,1,move the red block to the near side,3,True,0.6463,-0.1037,True,True,51,600
franka_solo_99999,1,move the red block to the near side,4,False,0.8066,0.0566,False,False,51,600
franka_solo_99999,1,move the red block to the near side,5,False,0.6645,-0.0855,True,True,51,600
franka_solo_99999,1,move the red block to the near side,6,True,0.5934,-0.1566,True,True,49,600
franka_solo_99999,1,move the red block to the near side,7,True,0.5915,-0.1585,True,True,51,600
franka_solo_99999,1,move the red block to the near side,8,True,0.6019,-0.1481,True,True,49,600
franka_solo_99999,1,move the red block to the near side,9,False,0.7762,0.0262,False,True,53,600
franka_solo_99999,2,move the blue block to the far side,0,False,0.6417,0.0417,True,False,,600
franka_solo_99999,2,move the blue block to the far side,1,True,0.8996,0.2996,True,True,101,600
franka_solo_99999,2,move the blue block to the far side,2,True,0.7317,0.1317,True,True,92,600
franka_solo_99999,2,move the blue block to the far side,3,True,0.7304,0.1304,True,True,90,600
franka_solo_99999,2,move the blue block to the far side,4,True,0.7279,0.1279,True,True,90,600
franka_solo_99999,2,move the blue block to the far side,5,False,0.5948,-0.0052,False,True,322,600
franka_solo_99999,2,move the blue block to the far side,6,True,0.7373,0.1373,True,True,80,600
franka_solo_99999,2,move the blue block to the far side,7,True,0.7372,0.1372,True,True,80,600
franka_solo_99999,2,move the blue block to the far side,8,False,0.6991,0.0991,True,True,,600
franka_solo_99999,2,move the blue block to the far side,9,False,0.6086,0.0086,True,True,111,600
franka_solo_99999,3,move the blue block to the near side,0,False,0.7857,0.0357,False,False,197,600
franka_solo_99999,3,move the blue block to the near side,1,True,0.5669,-0.1831,True,True,90,600
franka_solo_99999,3,move the blue block to the near side,2,False,0.7882,0.0382,False,False,186,600
franka_solo_99999,3,move the blue block to the near side,3,False,0.7951,0.0451,False,True,120,600
franka_solo_99999,3,move the blue block to the near side,4,True,0.6107,-0.1393,True,True,90,600
franka_solo_99999,3,move the blue block to the near side,5,True,0.5791,-0.1709,True,True,110,600
franka_solo_99999,3,move the blue block to the near side,6,False,0.7847,0.0347,False,False,150,600
franka_solo_99999,3,move the blue block to the near side,7,True,0.5933,-0.1567,True,True,90,600
franka_solo_99999,3,move the blue block to the near side,8,True,0.5681,-0.1819,True,True,90,600
franka_solo_99999,3,move the blue block to the near side,9,True,0.5806,-0.1694,True,True,94,600
franka_solo_99999,4,move the green block to the far side,0,False,0.5984,-0.0016,False,False,,600
franka_solo_99999,4,move the green block to the far side,1,False,0.6953,0.0953,True,True,51,600
franka_solo_99999,4,move the green block to the far side,2,False,0.5611,-0.0389,False,True,53,600
franka_solo_99999,4,move the green block to the far side,3,False,0.5617,-0.0383,False,True,50,600
franka_solo_99999,4,move the green block to the far side,4,False,0.6869,0.0869,True,True,53,600
franka_solo_99999,4,move the green block to the far side,5,False,0.5992,-0.0008,False,False,337,600
franka_solo_99999,4,move the green block to the far side,6,False,0.5573,-0.0427,False,True,52,600
franka_solo_99999,4,move the green block to the far side,7,False,0.5635,-0.0365,False,False,50,600
franka_solo_99999,4,move the green block to the far side,8,True,0.7091,0.1091,True,True,51,600
franka_solo_99999,4,move the green block to the far side,9,False,0.6547,0.0547,True,True,49,600
franka_solo_99999,5,move the green block to the near side,0,False,0.8198,0.0698,False,True,59,600
franka_solo_99999,5,move the green block to the near side,1,True,0.5343,-0.2157,True,True,63,600
franka_solo_99999,5,move the green block to the near side,2,False,0.7932,0.0432,False,True,63,600
franka_solo_99999,5,move the green block to the near side,3,False,0.7926,0.0426,False,True,59,600
franka_solo_99999,5,move the green block to the near side,4,False,0.8032,0.0532,False,True,59,600
franka_solo_99999,5,move the green block to the near side,5,False,0.7922,0.0422,False,False,50,600
franka_solo_99999,5,move the green block to the near side,6,False,0.7934,0.0434,False,True,33,600
franka_solo_99999,5,move the green block to the near side,7,False,0.8076,0.0576,False,True,20,600
franka_solo_99999,5,move the green block to the near side,8,False,0.8002,0.0502,False,False,48,600
franka_solo_99999,5,move the green block to the near side,9,False,0.7917,0.0417,False,False,38,600
