checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
g1_run2_99999,0,move the red block to the far side,0,False,0.5405,-0.0595,False,False,31,600
g1_run2_99999,0,move the red block to the far side,1,True,0.7585,0.1585,True,True,35,600
g1_run2_99999,0,move the red block to the far side,2,True,0.7377,0.1377,True,True,30,600
g1_run2_99999,0,move the red block to the far side,3,True,0.735,0.135,True,True,35,600
g1_run2_99999,0,move the red block to the far side,4,True,0.7484,0.1484,True,True,35,600
g1_run2_99999,0,move the red block to the far side,5,False,0.5671,-0.0329,False,False,30,600
g1_run2_99999,0,move the red block to the far side,6,True,0.7428,0.1428,True,True,31,600
g1_run2_99999,0,move the red block to the far side,7,False,0.5724,-0.0276,False,True,42,600
g1_run2_99999,0,move the red block to the far side,8,False,0.5868,-0.0132,False,False,31,600
g1_run2_99999,0,move the red block to the far side,9,False,0.5939,-0.0061,False,False,32,600
g1_run2_99999,1,move the red block to the near side,0,False,0.6968,-0.0532,True,True,36,600
g1_run2_99999,1,move the red block to the near side,1,False,0.7202,-0.0298,True,False,32,600
g1_run2_99999,1,move the red block to the near side,2,False,0.6772,-0.0728,True,True,39,600
g1_run2_99999,1,move the red block to the near side,3,True,0.4747,-0.2753,True,True,36,600
g1_run2_99999,1,move the red block to the near side,4,True,0.5149,-0.2351,True,True,36,600
g1_run2_99999,1,move the red block to the near side,5,True,0.5023,-0.2477,True,True,33,600
g1_run2_99999,1,move the red block to the near side,6,True,0.4612,-0.2888,True,True,33,600
g1_run2_99999,1,move the red block to the near side,7,True,0.577,-0.173,True,True,34,600
g1_run2_99999,1,move the red block to the near side,8,False,1.2184,0.4684,False,True,36,600
g1_run2_99999,1,move the red block to the near side,9,True,0.6113,-0.1387,True,True,37,600
g1_run2_99999,2,move the blue block to the far side,0,False,0.5634,-0.0366,False,False,20,600
g1_run2_99999,2,move the blue block to the far side,1,True,0.7381,0.1381,True,True,40,600
g1_run2_99999,2,move the blue block to the far side,2,True,0.7526,0.1526,True,True,32,600
g1_run2_99999,2,move the blue block to the far side,3,False,0.6991,0.0991,True,True,29,600
g1_run2_99999,2,move the blue block to the far side,4,False,0.6817,0.0817,True,True,33,600
g1_run2_99999,2,move the blue block to the far side,5,False,0.6763,0.0763,True,True,32,600
g1_run2_99999,2,move the blue block to the far side,6,False,0.5822,-0.0178,False,False,33,600
g1_run2_99999,2,move the blue block to the far side,7,True,0.7459,0.1459,True,True,28,600
g1_run2_99999,2,move the blue block to the far side,8,True,0.7687,0.1687,True,True,31,600
g1_run2_99999,2,move the blue block to the far side,9,False,0.5843,-0.0157,False,False,39,600
g1_run2_99999,3,move the blue block to the near side,0,False,0.7612,0.0112,False,False,572,600
g1_run2_99999,3,move the blue block to the near side,1,False,0.7643,0.0143,False,True,97,600
g1_run2_99999,3,move the blue block to the near side,2,False,0.7539,0.0039,False,True,186,600
g1_run2_99999,3,move the blue block to the near side,3,True,0.6026,-0.1474,True,True,352,600
g1_run2_99999,3,move the blue block to the near side,4,False,0.6965,-0.0535,True,True,79,600
g1_run2_99999,3,move the blue block to the near side,5,True,0.5758,-0.1742,True,True,353,600
g1_run2_99999,3,move the blue block to the near side,6,True,0.6573,-0.0927,True,False,61,600
g1_run2_99999,3,move the blue block to the near side,7,False,0.7069,-0.0431,True,False,27,600
g1_run2_99999,3,move the blue block to the near side,8,True,0.6579,-0.0921,True,False,461,600
g1_run2_99999,3,move the blue block to the near side,9,False,0.6691,-0.0809,True,True,32,600
g1_run2_99999,4,move the green block to the far side,0,False,0.5683,-0.0317,False,True,37,600
g1_run2_99999,4,move the green block to the far side,1,True,0.7756,0.1756,True,True,56,600
g1_run2_99999,4,move the green block to the far side,2,False,0.5607,-0.0393,False,True,31,600
g1_run2_99999,4,move the green block to the far side,3,True,0.7495,0.1495,True,True,107,600
g1_run2_99999,4,move the green block to the far side,4,True,0.7502,0.1502,True,True,104,600
g1_run2_99999,4,move the green block to the far side,5,False,0.5857,-0.0143,False,False,122,600
g1_run2_99999,4,move the green block to the far side,6,False,0.5844,-0.0156,False,False,81,600
g1_run2_99999,4,move the green block to the far side,7,False,0.5821,-0.0179,False,True,30,600
g1_run2_99999,4,move the green block to the far side,8,True,0.7506,0.1506,True,True,112,600
g1_run2_99999,4,move the green block to the far side,9,False,0.6714,0.0714,True,False,197,600
g1_run2_99999,5,move the green block to the near side,0,False,0.7171,-0.0329,True,False,69,600
g1_run2_99999,5,move the green block to the near side,1,True,0.5944,-0.1556,True,True,231,600
g1_run2_99999,5,move the green block to the near side,2,False,0.6772,-0.0728,True,False,78,600
g1_run2_99999,5,move the green block to the near side,3,True,0.5878,-0.1622,True,True,31,600
g1_run2_99999,5,move the green block to the near side,4,False,0.6715,-0.0785,True,True,47,600
g1_run2_99999,5,move the green block to the near side,5,False,0.7535,0.0035,False,False,67,600
g1_run2_99999,5,move the green block to the near side,6,True,0.5816,-0.1684,True,True,30,600
g1_run2_99999,5,move the green block to the near side,7,False,0.7163,-0.0337,True,True,516,600
g1_run2_99999,5,move the green block to the near side,8,False,0.7011,-0.0489,True,False,316,600
g1_run2_99999,5,move the green block to the near side,9,False,0.7113,-0.0387,True,False,55,600
