checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
g1_solo_99999,0,move the red block to the far side,0,True,0.7513,0.1513,True,True,33,600
g1_solo_99999,0,move the red block to the far side,1,True,0.7437,0.1437,True,True,34,600
g1_solo_99999,0,move the red block to the far side,2,True,0.7459,0.1459,True,True,29,600
g1_solo_99999,0,move the red block to the far side,3,True,0.7429,0.1429,True,True,31,600
g1_solo_99999,0,move the red block to the far side,4,True,0.7554,0.1554,True,True,35,600
g1_solo_99999,0,move the red block to the far side,5,True,0.7448,0.1448,True,True,33,600
g1_solo_99999,0,move the red block to the far side,6,False,0.5643,-0.0357,False,False,35,600
g1_solo_99999,0,move the red block to the far side,7,True,0.7491,0.1491,True,True,36,600
g1_solo_99999,0,move the red block to the far side,8,True,0.7333,0.1333,True,True,30,600
g1_solo_99999,0,move the red block to the far side,9,True,0.7476,0.1476,True,True,32,600
g1_solo_99999,1,move the red block to the near side,0,True,0.5608,-0.1892,True,True,32,600
g1_solo_99999,1,move the red block to the near side,1,True,0.5666,-0.1834,True,True,32,600
g1_solo_99999,1,move the red block to the near side,2,True,0.5721,-0.1779,True,True,40,600
g1_solo_99999,1,move the red block to the near side,3,False,0.7356,-0.0144,True,False,36,600
g1_solo_99999,1,move the red block to the near side,4,False,0.7604,0.0104,False,False,,600
g1_solo_99999,1,move the red block to the near side,5,True,0.5672,-0.1828,True,True,33,600
g1_solo_99999,1,move the red block to the near side,6,True,0.5704,-0.1796,True,True,37,600
g1_solo_99999,1,move the red block to the near side,7,True,0.5724,-0.1776,True,True,38,600
g1_solo_99999,1,move the red block to the near side,8,True,0.5678,-0.1822,True,True,38,600
g1_solo_99999,1,move the red block to the near side,9,True,0.5644,-0.1856,True,True,37,600
g1_solo_99999,2,move the blue block to the far side,0,False,0.6129,0.0129,True,False,29,600
g1_solo_99999,2,move the blue block to the far side,1,True,0.7601,0.1601,True,True,29,600
g1_solo_99999,2,move the blue block to the far side,2,False,0.5766,-0.0234,False,False,32,600
g1_solo_99999,2,move the blue block to the far side,3,True,0.7449,0.1449,True,True,30,600
g1_solo_99999,2,move the blue block to the far side,4,True,0.7384,0.1384,True,True,31,600
g1_solo_99999,2,move the blue block to the far side,5,False,0.5899,-0.0101,False,True,32,600
g1_solo_99999,2,move the blue block to the far side,6,True,0.744,0.144,True,True,37,600
g1_solo_99999,2,move the blue block to the far side,7,False,0.5787,-0.0213,False,True,29,600
g1_solo_99999,2,move the blue block to the far side,8,True,0.7309,0.1309,True,True,31,600
g1_solo_99999,2,move the blue block to the far side,9,True,0.7335,0.1335,True,True,35,600
g1_solo_99999,4,move the green block to the far side,0,False,0.5675,-0.0325,False,False,246,600
g1_solo_99999,4,move the green block to the far side,1,False,0.6424,0.0424,True,False,410,600
g1_solo_99999,4,move the green block to the far side,2,False,0.5822,-0.0178,False,False,491,600
g1_solo_99999,4,move the green block to the far side,3,False,0.5783,-0.0217,False,True,47,600
g1_solo_99999,4,move the green block to the far side,4,False,0.5882,-0.0118,False,True,359,600
g1_solo_99999,4,move the green block to the far side,5,False,0.5618,-0.0382,False,False,122,600
g1_solo_99999,4,move the green block to the far side,6,True,0.7005,0.1005,True,True,264,600
g1_solo_99999,4,move the green block to the far side,7,False,0.5739,-0.0261,False,True,235,600
g1_solo_99999,4,move the green block to the far side,8,True,0.7461,0.1461,True,True,156,600
g1_solo_99999,4,move the green block to the far side,9,False,0.5768,-0.0232,False,True,51,600
