checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
pi05_base,0,move the red block to the far side,0,True,0.7787,0.1787,True,True,69,600
pi05_base,0,move the red block to the far side,1,False,0.6182,0.0182,True,False,90,600
pi05_base,0,move the red block to the far side,2,True,0.7996,0.1996,True,True,130,600
pi05_base,0,move the red block to the far side,3,True,0.776,0.176,True,True,36,600
pi05_base,0,move the red block to the far side,4,True,0.7865,0.1865,True,True,57,600
pi05_base,0,move the red block to the far side,5,True,0.7564,0.1564,True,True,35,600
pi05_base,0,move the red block to the far side,6,True,0.7595,0.1595,True,True,46,600
pi05_base,0,move the red block to the far side,7,True,0.7573,0.1573,True,True,86,600
pi05_base,0,move the red block to the far side,8,False,0.6207,0.0207,True,True,104,600
pi05_base,0,move the red block to the far side,9,False,0.6154,0.0154,True,False,38,600
pi05_base,1,move the red block to the near side,0,False,0.7509,0.0009,False,False,30,600
pi05_base,1,move the red block to the near side,1,True,0.6219,-0.1281,True,True,125,600
pi05_base,1,move the red block to the near side,2,True,0.6541,-0.0959,True,True,37,600
pi05_base,1,move the red block to the near side,3,False,0.8194,0.0694,False,False,146,600
pi05_base,1,move the red block to the near side,4,False,0.7486,-0.0014,True,False,202,600
pi05_base,1,move the red block to the near side,5,False,0.7456,-0.0044,True,False,92,600
pi05_base,1,move the red block to the near side,6,False,0.7597,0.0097,False,False,132,600
pi05_base,1,move the red block to the near side,7,False,0.75,0.0,False,False,1,600
pi05_base,1,move the red block to the near side,8,False,0.75,0.0,False,False,0,600
pi05_base,1,move the red block to the near side,9,False,0.75,0.0,False,False,4,600
pi05_base,2,move the blue block to the far side,0,False,0.6,0.0,False,False,0,600
pi05_base,2,move the blue block to the far side,1,False,0.6,0.0,False,False,1,600
pi05_base,2,move the blue block to the far side,2,False,0.6252,0.0252,True,False,0,600
pi05_base,2,move the blue block to the far side,3,False,0.6,0.0,False,False,10,600
pi05_base,2,move the blue block to the far side,4,False,0.6,0.0,False,False,5,600
pi05_base,2,move the blue block to the far side,5,False,0.6,0.0,False,False,10,600
pi05_base,2,move the blue block to the far side,6,False,0.6,0.0,False,False,0,600
pi05_base,2,move the blue block to the far side,7,False,0.6047,0.0047,True,False,0,600
pi05_base,2,move the blue block to the far side,8,False,0.6,0.0,False,False,1,600
pi05_base,2,move the blue block to the far side,9,False,0.6,0.0,False,False,10,600
pi05_base,3,move the blue block to the near side,0,False,0.75,0.0,False,False,11,600
pi05_base,3,move the blue block to the near side,1,False,0.75,0.0,False,False,1,600
pi05_base,3,move the blue block to the near side,2,False,0.75,0.0,False,False,3,600
pi05_base,3,move the blue block to the near side,3,False,0.75,0.0,False,False,0,600
pi05_base,3,move the blue block to the near side,4,False,0.75,0.0,False,False,21,600
pi05_base,3,move the blue block to the near side,5,False,0.75,0.0,False,False,0,600
pi05_base,3,move the blue block to the near side,6,False,0.75,0.0,False,False,0,600
pi05_base,3,move the blue block to the near side,7,False,0.7607,0.0107,False,False,2,600
pi05_base,3,move the blue block to the near side,8,False,0.75,0.0,False,False,14,600
pi05_base,3,move the blue block to the near side,9,False,0.75,0.0,False,False,0,600
pi05_base,4,move the green block to the far side,0,False,0.6,0.0,False,False,13,600
pi05_base,4,move the green block to the far side,1,False,0.6,0.0,False,False,2,600
pi05_base,4,move the green block to the far side,2,False,0.6,0.0,False,False,10,600
pi05_base,4,move the green block to the far side,3,False,0.6039,0.0039,True,False,0,600
pi05_base,4,move the green block to the far side,4,False,0.5962,-0.0038,False,False,1,600
pi05_base,4,move the green block to the far side,5,False,0.6,0.0,False,False,1,600
pi05_base,4,move the green block to the far side,6,False,0.6,0.0,False,False,0,600
pi05_base,4,move the green block to the far side,7,False,0.6,0.0,False,False,8,600
pi05_base,4,move the green block to the far side,8,False,0.6,0.0,False,False,8,600
pi05_base,4,move the green block to the far side,9,False,0.5962,-0.0038,False,False,2,600
pi05_base,5,move the green block to the near side,0,False,0.75,0.0,False,False,1,600
pi05_base,5,move the green block to the near side,1,False,0.75,0.0,False,False,0,600
pi05_base,5,move the green block to the near side,2,False,0.75,0.0,False,False,2,600
pi05_base,5,move the green block to the near side,3,False,0.75,0.0,False,False,20,600
pi05_base,5,move the green block to the near side,4,False,0.75,0.0,False,False,2,600
pi05_base,5,move the green block to the near side,5,False,0.75,0.0,False,False,0,600
pi05_base,5,move the green block to the near side,6,False,0.75,0.0,False,False,4,600
pi05_base,5,move the green block to the near side,7,False,0.75,0.0,False,False,13,600
pi05_base,5,move the green block to the near side,8,False,0.75,0.0,False,False,0,600
pi05_base,5,move the green block to the near side,9,False,0.75,0.0,False,False,0,600
