checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
pos_run3_199999,0,move the red block to the far side,0,False,0.5882,-0.0118,False,False,26,600
pos_run3_199999,0,move the red block to the far side,1,False,0.5917,-0.0083,False,False,26,600
pos_run3_199999,0,move the red block to the far side,2,False,0.5836,-0.0164,False,False,35,600
pos_run3_199999,0,move the red block to the far side,3,False,0.5925,-0.0075,False,False,20,600
pos_run3_199999,0,move the red block to the far side,4,False,0.6062,0.0062,True,False,27,600
pos_run3_199999,0,move the red block to the far side,5,False,0.6031,0.0031,True,False,97,600
pos_run3_199999,0,move the red block to the far side,6,False,0.6582,0.0582,True,True,306,600
pos_run3_199999,0,move the red block to the far side,7,False,0.6,0.0,False,False,60,600
pos_run3_199999,0,move the red block to the far side,8,False,0.6248,0.0248,True,False,100,600
pos_run3_199999,0,move the red block to the far side,9,True,0.7749,0.1749,True,True,35,600
pos_run3_199999,1,move the red block to the near side,0,True,0.6573,-0.0927,True,True,26,600
pos_run3_199999,1,move the red block to the near side,1,True,0.6585,-0.0915,True,True,30,600
pos_run3_199999,1,move the red block to the near side,2,False,0.75,0.0,False,False,10,600
pos_run3_199999,1,move the red block to the near side,3,False,0.6942,-0.0558,True,False,96,600
pos_run3_199999,1,move the red block to the near side,4,False,0.6754,-0.0746,True,False,179,600
pos_run3_199999,1,move the red block to the near side,5,False,0.75,0.0,False,False,10,600
pos_run3_199999,1,move the red block to the near side,6,False,0.8579,0.1079,False,True,50,600
pos_run3_199999,1,move the red block to the near side,7,False,0.798,0.048,False,False,,600
pos_run3_199999,1,move the red block to the near side,8,False,0.6702,-0.0798,True,False,559,600
pos_run3_199999,1,move the red block to the near side,9,False,0.7889,0.0389,False,False,26,600
pos_run3_199999,2,move the blue block to the far side,0,False,0.5028,-0.0972,False,False,17,600
pos_run3_199999,2,move the blue block to the far side,1,True,0.7834,0.1834,True,False,420,600
pos_run3_199999,2,move the blue block to the far side,2,True,0.7854,0.1854,True,True,228,600
pos_run3_199999,2,move the blue block to the far side,3,True,0.7509,0.1509,True,True,30,600
pos_run3_199999,2,move the blue block to the far side,4,True,0.7705,0.1705,True,False,,600
pos_run3_199999,2,move the blue block to the far side,5,True,0.7846,0.1846,True,False,523,600
pos_run3_199999,2,move the blue block to the far side,6,False,0.5897,-0.0103,False,False,48,600
pos_run3_199999,2,move the blue block to the far side,7,True,0.7719,0.1719,True,False,,600
pos_run3_199999,2,move the blue block to the far side,8,True,0.7664,0.1664,True,False,,600
pos_run3_199999,2,move the blue block to the far side,9,True,0.7784,0.1784,True,True,97,600
pos_run3_199999,3,move the blue block to the near side,0,False,0.8159,0.0659,False,True,20,600
pos_run3_199999,3,move the blue block to the near side,1,False,0.8045,0.0545,False,False,29,600
pos_run3_199999,3,move the blue block to the near side,2,False,0.8168,0.0668,False,False,,600
pos_run3_199999,3,move the blue block to the near side,3,False,0.8117,0.0617,False,False,483,600
pos_run3_199999,3,move the blue block to the near side,4,False,0.7901,0.0401,False,False,467,600
pos_run3_199999,3,move the blue block to the near side,5,False,0.773,0.023,False,False,,600
pos_run3_199999,3,move the blue block to the near side,6,False,0.8089,0.0589,False,True,37,600
pos_run3_199999,3,move the blue block to the near side,7,False,0.8322,0.0822,False,True,67,600
pos_run3_199999,3,move the blue block to the near side,8,False,0.8002,0.0502,False,False,,600
pos_run3_199999,3,move the blue block to the near side,9,False,0.7845,0.0345,False,False,60,600
pos_run3_199999,4,move the green block to the far side,0,False,0.6688,0.0688,True,False,10,600
pos_run3_199999,4,move the green block to the far side,1,True,0.7166,0.1166,True,False,174,600
pos_run3_199999,4,move the green block to the far side,2,False,0.6,0.0,False,False,,600
pos_run3_199999,4,move the green block to the far side,3,False,0.6174,0.0174,True,False,,600
pos_run3_199999,4,move the green block to the far side,4,False,0.616,0.016,True,False,214,600
pos_run3_199999,4,move the green block to the far side,5,False,0.6,0.0,False,False,,600
pos_run3_199999,4,move the green block to the far side,6,False,0.6,0.0,False,False,10,600
pos_run3_199999,4,move the green block to the far side,7,False,0.6,0.0,False,False,,600
pos_run3_199999,4,move the green block to the far side,8,False,0.5103,-0.0897,False,True,,600
pos_run3_199999,4,move the green block to the far side,9,False,0.686,0.086,True,False,52,600
pos_run3_199999,5,move the green block to the near side,0,False,0.7941,0.0441,False,False,168,600
pos_run3_199999,5,move the green block to the near side,1,False,0.75,0.0,False,False,,600
pos_run3_199999,5,move the green block to the near side,2,False,0.7932,0.0432,False,False,58,600
pos_run3_199999,5,move the green block to the near side,3,False,0.7747,0.0247,False,True,,600
pos_run3_199999,5,move the green block to the near side,4,False,0.7539,0.0039,False,False,,600
pos_run3_199999,5,move the green block to the near side,5,False,0.8553,0.1053,False,False,150,600
pos_run3_199999,5,move the green block to the near side,6,False,0.7621,0.0121,False,False,,600
pos_run3_199999,5,move the green block to the near side,7,False,0.77,0.02,False,False,,600
pos_run3_199999,5,move the green block to the near side,8,False,0.7504,0.0004,False,False,18,600
pos_run3_199999,5,move the green block to the near side,9,False,0.8281,0.0781,False,False,10,600
