checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
pos_v2_499999,0,move the red block to the far side,0,True,0.7702,0.1702,True,True,79,600
pos_v2_499999,0,move the red block to the far side,1,False,0.6195,0.0195,True,False,35,600
pos_v2_499999,0,move the red block to the far side,2,True,0.7689,0.1689,True,True,124,600
pos_v2_499999,0,move the red block to the far side,3,True,0.8032,0.2032,True,True,35,600
pos_v2_499999,0,move the red block to the far side,4,False,0.6025,0.0025,True,False,49,600
pos_v2_499999,0,move the red block to the far side,5,True,0.7776,0.1776,True,True,164,600
pos_v2_499999,0,move the red block to the far side,6,False,0.6149,0.0149,True,True,48,600
pos_v2_499999,0,move the red block to the far side,7,False,0.6179,0.0179,True,False,120,600
pos_v2_499999,0,move the red block to the far side,8,True,0.7735,0.1735,True,True,63,600
pos_v2_499999,0,move the red block to the far side,9,True,0.8106,0.2106,True,True,40,600
pos_v2_499999,1,move the red block to the near side,0,True,0.6201,-0.1299,True,True,305,600
pos_v2_499999,1,move the red block to the near side,1,False,0.7711,0.0211,False,False,30,600
pos_v2_499999,1,move the red block to the near side,2,False,0.7661,0.0161,False,False,122,600
pos_v2_499999,1,move the red block to the near side,3,False,0.7695,0.0195,False,False,32,600
pos_v2_499999,1,move the red block to the near side,4,False,0.7781,0.0281,False,False,48,600
pos_v2_499999,1,move the red block to the near side,5,False,0.8146,0.0646,False,True,215,600
pos_v2_499999,1,move the red block to the near side,6,True,0.6272,-0.1228,True,True,60,600
pos_v2_499999,1,move the red block to the near side,7,True,0.6129,-0.1371,True,True,76,600
pos_v2_499999,1,move the red block to the near side,8,False,0.8224,0.0724,False,False,134,600
pos_v2_499999,1,move the red block to the near side,9,True,0.6075,-0.1425,True,True,122,600
pos_v2_499999,2,move the blue block to the far side,0,True,0.768,0.168,True,True,188,600
pos_v2_499999,2,move the blue block to the far side,1,True,0.7525,0.1525,True,True,276,600
pos_v2_499999,2,move the blue block to the far side,2,False,0.62,0.02,True,True,377,600
pos_v2_499999,2,move the blue block to the far side,3,False,0.6617,0.0617,True,True,393,600
pos_v2_499999,2,move the blue block to the far side,4,True,0.7845,0.1845,True,True,74,600
pos_v2_499999,2,move the blue block to the far side,5,True,0.7567,0.1567,True,True,345,600
pos_v2_499999,2,move the blue block to the far side,6,True,0.7652,0.1652,True,True,126,600
pos_v2_499999,2,move the blue block to the far side,7,True,0.7692,0.1692,True,True,264,600
pos_v2_499999,2,move the blue block to the far side,8,False,0.6438,0.0438,True,False,403,600
pos_v2_499999,2,move the blue block to the far side,9,True,0.7389,0.1389,True,True,90,600
pos_v2_499999,3,move the blue block to the near side,0,False,0.762,0.012,False,False,159,600
pos_v2_499999,3,move the blue block to the near side,1,True,0.6057,-0.1443,True,True,118,600
pos_v2_499999,3,move the blue block to the near side,2,False,0.7641,0.0141,False,False,306,600
pos_v2_499999,3,move the blue block to the near side,3,False,0.7695,0.0195,False,False,186,600
pos_v2_499999,3,move the blue block to the near side,4,False,0.7631,0.0131,False,True,116,600
pos_v2_499999,3,move the blue block to the near side,5,True,0.6094,-0.1406,True,True,86,600
pos_v2_499999,3,move the blue block to the near side,6,True,0.6388,-0.1112,True,True,93,600
pos_v2_499999,3,move the blue block to the near side,7,True,0.63,-0.12,True,True,201,600
pos_v2_499999,3,move the blue block to the near side,8,False,0.7656,0.0156,False,False,99,600
pos_v2_499999,3,move the blue block to the near side,9,True,0.6328,-0.1172,True,True,110,600
pos_v2_499999,4,move the green block to the far side,0,False,0.676,0.076,True,False,62,600
pos_v2_499999,4,move the green block to the far side,1,False,0.6,0.0,False,False,83,600
pos_v2_499999,4,move the green block to the far side,2,False,0.6411,0.0411,True,False,63,600
pos_v2_499999,4,move the green block to the far side,3,True,0.7839,0.1839,True,True,75,600
pos_v2_499999,4,move the green block to the far side,4,False,0.6693,0.0693,True,False,87,600
pos_v2_499999,4,move the green block to the far side,5,True,0.7718,0.1718,True,True,68,600
pos_v2_499999,4,move the green block to the far side,6,False,0.6558,0.0558,True,False,72,600
pos_v2_499999,4,move the green block to the far side,7,False,0.6108,0.0108,True,False,60,600
pos_v2_499999,4,move the green block to the far side,8,False,0.6255,0.0255,True,True,69,600
pos_v2_499999,4,move the green block to the far side,9,False,0.6,0.0,False,False,105,600
pos_v2_499999,5,move the green block to the near side,0,False,0.75,0.0,False,False,80,600
pos_v2_499999,5,move the green block to the near side,1,False,0.7578,0.0078,False,False,80,600
pos_v2_499999,5,move the green block to the near side,2,False,0.75,0.0,False,False,,600
pos_v2_499999,5,move the green block to the near side,3,False,0.75,0.0,False,False,148,600
pos_v2_499999,5,move the green block to the near side,4,False,0.75,0.0,False,False,87,600
pos_v2_499999,5,move the green block to the near side,5,False,0.75,0.0,False,False,99,600
pos_v2_499999,5,move the green block to the near side,6,False,0.7745,0.0245,False,False,68,600
pos_v2_499999,5,move the green block to the near side,7,False,0.7606,0.0106,False,False,76,600
pos_v2_499999,5,move the green block to the near side,8,False,0.75,0.0,False,False,90,600
pos_v2_499999,5,move the green block to the near side,9,False,0.7586,0.0086,False,False,79,600
