step,gripper_norm,block_x,block_z,ee_z
0,0.0,0.75,0.2849045486152053,0.2675079161857252
1,0.0005301671979725362,0.75,0.28490462996410054,0.2526650620236259
2,0.0,0.75,0.2849046537789269,0.22891754225683533
3,0.0,0.75,0.2849046598325226,0.20347890889552223
4,0.0,0.75,0.2849046613712183,0.19931619367517153
5,0.0,0.75,0.28490466176232226,0.2828074215891015
6,0.0,0.75,0.2849046618617326,0.40980318559112583
7,0.0,0.75,0.28490466188700053,0.5382640920359437
8,0.00041416984498500827,0.75,0.2849046618934232,0.6443123851939844
9,0.0,0.75,0.2849046618950556,0.7199833691299837
10,0.0,0.75,0.2849046618954708,0.7634541997388522
11,0.0,0.75,0.28490466189557623,0.7867516600744856
12,0.0,0.75,0.28490466189560304,0.8032843631684595
13,0.0,0.75,0.2849046618956097,0.8251590088452234
14,0.0,0.75,0.2849046618956112,0.8367220898128253
15,0.0,0.75,0.2849046618956112,0.8309557970398712
16,0.0,0.75,0.2849046618956112,0.8024618833594946
17,0.0,0.75,0.2849046618956112,0.7449538391029595
18,0.0,0.75,0.2849046618956112,0.6519726134033682
19,0.0,0.75,0.2849046618956112,0.531768703587932
20,0.0,0.75,0.2849046618956112,0.42413199572466687
21,0.0,0.75,0.2849046618956112,0.4375513754971282
22,0.0,0.75,0.2849046618956112,0.43597888964431125
23,0.0,0.75,0.2849046618956112,0.4338928586227009
24,0.0,0.75,0.2849046618956112,0.4356744864789345
25,0.0,0.75,0.2849046618956112,0.4351688102634834
26,0.0,0.75,0.2849046618956112,0.43588002266059955
27,0.0,0.75,0.2849046618956112,0.43603287623953324
28,0.0,0.75,0.2849046618956112,0.43610355905031584
29,0.0,0.75,0.2849046618956112,0.43571083725632065
30,0.0,0.75,0.2849046618956112,0.43405631135491013
31,0.0,0.75,0.2849046618956112,0.43415525847449155
32,0.0,0.75,0.2849046618956112,0.4340971291598311
33,0.0,0.75,0.2849046618956112,0.4346430152608806
34,0.0,0.75,0.2849046618956112,0.43428844711634196
35,0.0,0.75,0.2849046618956112,0.4343626370175942
36,0.0,0.75,0.2849046618956112,0.43500064584447673
37,0.0,0.75,0.2849046618956112,0.4343297593110449
38,0.0,0.75,0.2849046618956112,0.43599182306088047
39,0.0,0.75,0.2849046618956112,0.43581769538827553
40,0.0,0.75,0.2849046618956112,0.4365163949055071
41,0.0,0.75,0.2849046618956112,0.43618323452545826
42,0.0,0.75,0.2849046618956112,0.4350627795680917
43,0.0,0.75,0.2849046618956112,0.4359922464218166
44,0.0,0.75,0.2849046618956112,0.4365152401942243
45,0.0,0.75,0.2849046618956112,0.43584823683403323
46,0.0,0.75,0.2849046618956112,0.4355426175906828
47,0.0004471544506251812,0.75,0.2849046618956112,0.4363303215160763
48,0.0,0.75,0.2849046618956112,0.4369140569625659
49,0.0,0.75,0.2849046618956112,0.43632898063115205
50,0.0,0.75,0.2849046618956112,0.43519552664439576
51,0.0,0.75,0.2849046618956112,0.4346126177389278
52,0.0,0.75,0.2849046618956112,0.4337554864325541
53,0.0,0.75,0.2849046618956112,0.4349578021674409
54,0.0,0.75,0.2849046618956112,0.43469270039248925
55,0.0,0.75,0.2849046618956112,0.4352791903214322
56,0.0,0.75,0.2849046618956112,0.43494367558858094
57,0.0,0.75,0.2849046618956112,0.434488749842317
58,0.0,0.75,0.2849046618956112,0.4350128836968599
59,0.0,0.75,0.2849046618956112,0.43499661999462697
60,0.0,0.75,0.2849046618956112,0.4330080036416306
61,0.0,0.75,0.2849046618956112,0.4348613873545834
62,0.0,0.75,0.2849046618956112,0.43442866312871026
63,0.0,0.75,0.2849046618956112,0.43495218172114936
64,0.0,0.75,0.2849046618956112,0.43424320897838126
65,0.0,0.75,0.2849046618956112,0.4352604626402993
66,0.0,0.75,0.2849046618956112,0.434480848598293
67,0.0,0.75,0.2849046618956112,0.4334936992175779
68,0.0,0.75,0.2849046618956112,0.43300677592278225
69,0.0,0.75,0.2849046618956112,0.43504568494060103
70,0.0,0.75,0.2849046618956112,0.4347880357004835
71,0.0,0.75,0.2849046618956112,0.433967917929878
72,0.0,0.75,0.2849046618956112,0.4322143744276262
73,0.0,0.75,0.2849046618956112,0.4340272646893647
74,0.0,0.75,0.2849046618956112,0.433618373404805
75,0.0,0.75,0.2849046618956112,0.4334428784527078
76,0.0,0.75,0.2849046618956112,0.4331437308288789
77,0.0,0.75,0.2849046618956112,0.43302832567011473
78,0.0,0.75,0.2849046618956112,0.4337720610878631
79,0.0,0.75,0.2849046618956112,0.43381036048988786
80,0.0,0.75,0.2849046618956112,0.434408771911954
81,0.0,0.75,0.2849046618956112,0.4349406129369895
82,0.0,0.75,0.2849046618956112,0.4340828975845664
83,0.0,0.75,0.2849046618956112,0.434656560050406
84,0.0,0.75,0.2849046618956112,0.4342936855362103
85,0.0,0.75,0.2849046618956112,0.43436881476684974
86,0.0,0.75,0.2849046618956112,0.4341779127480094
87,0.0,0.75,0.2849046618956112,0.4346925934068448
88,0.0,0.75,0.2849046618956112,0.4330219358520099
89,0.0,0.75,0.2849046618956112,0.43764550690551446
90,0.0,0.75,0.2849046618956112,0.4343393579303139
91,0.0,0.75,0.2849046618956112,0.43519668073253687
92,0.0,0.75,0.2849046618956112,0.4353922876242753
93,0.0,0.75,0.2849046618956112,0.43496432557265774
94,0.0,0.75,0.2849046618956112,0.43410985596107576
95,0.0,0.75,0.2849046618956112,0.4339846270181129
96,0.0,0.75,0.2849046618956112,0.43508874936258307
97,0.0,0.75,0.2849046618956112,0.43398922264627987
98,0.0,0.75,0.2849046618956112,0.43363598179034657
99,0.0,0.75,0.2849046618956112,0.4335720447074759
100,0.0,0.75,0.2849046618956112,0.43453241901065964
101,0.0,0.75,0.2849046618956112,0.43488552863260227
102,0.0,0.75,0.2849046618956112,0.43612382881819833
103,0.0,0.75,0.2849046618956112,0.43544006940111624
104,0.0,0.75,0.2849046618956112,0.43486965100621244
105,0.0,0.75,0.2849046618956112,0.4355018360764305
106,0.0,0.75,0.2849046618956112,0.4348636713408225
107,0.0,0.75,0.2849046618956112,0.43527930058373043
108,0.0,0.75,0.2849046618956112,0.4349974632148514
109,0.0,0.75,0.2849046618956112,0.43429610085184434
