step,gripper_norm,block_x,block_z,ee_z
0,0.0,0.75,0.2849045486152053,0.2733789933695195
1,0.0,0.75,0.28490462996410054,0.2690080813207306
2,0.0,0.75,0.2849046537789269,0.2553467087812493
3,0.0,0.75,0.2849046598325226,0.22846095132216787
4,0.0,0.75,0.2849046613712183,0.188246285790874
5,0.0,0.75,0.28490466176232226,0.25887230808970846
6,0.0,0.75,0.2849046618617326,0.3707045955586316
7,0.0,0.75,0.28490466188700053,0.4978512581245635
8,0.0014414004497230054,0.75,0.2849046618934232,0.6188646366468603
9,0.0,0.75,0.2849046618950556,0.7248457984387465
10,0.0035093594246506693,0.75,0.2849046618954708,0.8112633741220127
11,0.006455269081771374,0.75,0.28490466189557623,0.861322940944473
12,0.0045317332175374035,0.75,0.28490466189560304,0.8783994263118133
13,0.0053121901060044765,0.75,0.2849046618956097,0.8520225249230761
14,0.005622698304176331,0.75,0.2849046618956112,0.809951990971266
15,0.007595636585891247,0.75,0.2849046618956112,0.7516876888444624
16,0.005106565206706524,0.75,0.2849046618956112,0.6893287180905363
17,0.004764085480213166,0.75,0.2849046618956112,0.6263471563915805
18,0.0,0.75,0.2849046618956112,0.5469407229740427
19,0.0013053203287124635,0.75,0.2849046618956112,0.4518051563146725
20,0.0,0.75,0.2849046618956112,0.42157591763838287
21,0.0,0.75,0.2849046618956112,0.4192222257184307
22,0.0,0.75,0.2849046618956112,0.39722447350442947
23,0.0,0.75,0.2849046618956112,0.37333700312071233
24,0.0,0.75,0.2849046618956112,0.34987537910977573
25,0.0004373514377474785,0.7500374051240865,0.2848553938016114,0.32719584885253866
26,0.004836788676023484,0.7515189361314148,0.2827423447337027,0.31557833154646475
27,0.002073977846056223,0.7582943940943314,0.2852291734502306,0.29302849131593967
28,1.3587154626846314e-05,0.7600783405831738,0.2855394108699948,0.28917223464031044
29,0.0003310677084624768,0.7601225975717543,0.2853892760843268,0.2857208342838833
30,0.002194563843369484,0.7601660291422747,0.28528976324409155,0.2867274829784029
31,0.0018781857560276987,0.7602058205556712,0.28522216325022265,0.2820815204036959
32,0.004341185292452574,0.7602357930433072,0.28518030117228255,0.2813502318863239
33,0.012253229762077333,0.7602601654077183,0.28513716281359297,0.28077570576675465
34,0.9970320809097291,0.7607338280904229,0.2855159597724913,0.2812901500533187
35,1.0,0.7614172450135114,0.2859915763589353,0.2818199708530352
36,1.0,0.7619028475827032,0.2864559285521783,0.28236559604651795
37,0.9980785897799135,0.7622688686197991,0.2869207487463323,0.28291811923333027
38,0.9981722696354985,0.7624674113109656,0.28739563686610475,0.28348101777192397
39,0.9989842213100195,0.7625533197400289,0.2878855121109614,0.2840594609743122
