step,gripper_norm,block_x,block_z,ee_z
0,0.0,0.75,0.2849045486152053,0.2806759323027987
1,0.0,0.75,0.28490462996410054,0.27068130932640533
2,0.0,0.75,0.2849046537789269,0.24866984699818218
3,0.0,0.75,0.2849046598325226,0.21812814903078595
4,0.0,0.75,0.2849046613712183,0.18678971659484803
5,0.0,0.75,0.28490466176232226,0.25562562754326973
6,0.0,0.75,0.2849046618617326,0.3671156800994206
7,0.0008018209013342858,0.75,0.28490466188700053,0.500324996481797
8,0.006730081202656031,0.75,0.2849046618934232,0.6204694963622194
9,0.009978603014141321,0.75,0.2849046618950556,0.7071846002334452
10,0.004847455784261227,0.75,0.2849046618954708,0.7756936678194334
11,0.01168140720847249,0.75,0.28490466189557623,0.8089340269080002
12,0.011484423262774945,0.75,0.28490466189560304,0.8240833917478436
13,0.007082870480686426,0.75,0.2849046618956097,0.8333387644373671
14,0.007408038503587246,0.75,0.2849046618956112,0.8456196374122176
15,0.007202920142948628,0.75,0.2849046618956112,0.8442540118942481
16,0.012806548756420613,0.75,0.2849046618956112,0.8170973813807116
17,0.0076157789466977125,0.75,0.2849046618956112,0.7604358363466784
18,0.008190908899784088,0.75,0.2849046618956112,0.6660251141968163
19,0.006452587406516075,0.75,0.2849046618956112,0.541513982642035
20,0.008243976273447275,0.75,0.2849046618956112,0.4202663307736777
21,0.004061069413840771,0.75,0.2849046618956112,0.4405466366631359
22,0.0014855289058685304,0.75,0.2849046618956112,0.46864282171030863
23,0.0022837146474123,0.75,0.2849046618956112,0.4735201899584338
24,0.0012558881148397923,0.75,0.2849046618956112,0.4644129757168109
25,0.0010120344449579717,0.75,0.2849046618956112,0.44588198468416773
26,0.0,0.75,0.2849046618956112,0.4176507152307625
27,0.0,0.75,0.2849046618956112,0.3992760641994146
28,0.0,0.75,0.2849046618956112,0.38278494667248836
29,0.0,0.75,0.2849046618956112,0.3661027977009899
30,0.0,0.75,0.2849046618956112,0.3242933195206301
31,0.0,0.75,0.2849046618956112,0.30991982384587735
32,0.0,0.75,0.2849046618956112,0.29842721057925437
33,0.0,0.75,0.2849046618956112,0.29424914996791685
34,0.0,0.75,0.2849046618956112,0.2909981494123621
35,0.0,0.75,0.2849046618956112,0.28768375912898636
36,0.0,0.75,0.2849046618956112,0.28491439752967085
37,0.0,0.75,0.2849046618956112,0.2823763271098819
38,0.0,0.75,0.2849046618956112,0.27200194618385143
39,0.0,0.75,0.2849046618956112,0.27210574988677083
40,0.0,0.75,0.2849046618956112,0.27304896881352286
41,0.0,0.75,0.2849046618956112,0.27484122612821676
42,0.0005174441387057304,0.75,0.2849046618956112,0.27363803865515435
43,0.0,0.75,0.2849046618956112,0.27433106715831795
44,0.0,0.75,0.2849046618956112,0.27475132228018023
45,0.0,0.75,0.2849046618956112,0.27519041918257064
46,0.0,0.75,0.2849046618956112,0.2747781069515168
47,0.0,0.75,0.2849046618956112,0.2747928569540708
48,0.0,0.75,0.2849046618956112,0.2748833480916985
49,0.0,0.75,0.2849046618956112,0.2741111824109391
50,0.9779743087620736,0.75,0.2849046618956112,0.27383305565359833
51,0.9787713026479483,0.75,0.2849046618956112,0.2734351848817493
52,0.9773911337832213,0.75,0.2849046618956112,0.27301123682259587
53,0.9763533850522041,0.75,0.2849046618956112,0.27255766908933005
54,0.9783281111174227,0.75,0.2849046618956112,0.27206434967378146
55,0.9793228934515715,0.75,0.2849046618956112,0.27163310740214547
56,0.9835090481178761,0.75,0.2849046618956112,0.27146357729256193
57,0.9852403376626969,0.75,0.2849046618956112,0.2722315069077947
58,0.9830471444533467,0.75,0.2849046618956112,0.27827377956127974
59,0.9806048534091711,0.75,0.2849046618956112,0.3058823868690219
60,0.9882633007888199,0.75,0.2849046618956112,0.2904886264163729
61,0.9875509882482291,0.75,0.2849046618956112,0.28886616672874205
62,0.9851123919566274,0.75,0.2849046618956112,0.29147096105802645
63,0.9863500148833395,0.75,0.2849046618956112,0.30099992479003845
64,0.9867340903726817,0.75,0.2849046618956112,0.3177245383717946
65,0.9856709551159144,0.75,0.2849046618956112,0.3214768786275274
66,0.984824737590909,0.75,0.2849046618956112,0.3246642372624923
67,0.9858599834250212,0.75,0.2849046618956112,0.3349565111661946
68,0.9817944445524216,0.75,0.2849046618956112,0.33964101371126415
69,0.9841552722616196,0.75,0.2849046618956112,0.342115216213115
70,0.9911832279923559,0.75,0.2849046618956112,0.295360973294677
71,0.9876534282429815,0.75,0.2849046618956112,0.2840600010960874
72,0.9869979672178031,0.75,0.2849046618956112,0.2931411258193758
73,0.9860266644403339,0.75,0.2849046618956112,0.29970635685385233
74,0.9889925376799107,0.75,0.2849046618956112,0.3119427432417906
75,0.987061373939395,0.75,0.2849046618956112,0.31880922868886374
76,0.9884667505515218,0.75,0.2849046618956112,0.32233355489346177
77,0.9893611786383391,0.75,0.2849046618956112,0.32531156751841417
78,0.9908241814720631,0.75,0.2849046618956112,0.33590806463215694
79,0.9904379606425167,0.75,0.2849046618956112,0.33805285947143515
80,0.9858880516260267,0.75,0.2849046618956112,0.29711647623826914
81,0.9820987253047229,0.75,0.2849046618956112,0.2817911937785878
82,0.983278900788188,0.75,0.2849046618956112,0.2795037194257894
83,0.9812007812436819,0.75,0.2849046618956112,0.2792567478770217
84,0.9801233437188864,0.75,0.2849046618956112,0.28002769669644095
85,0.9850129316010475,0.75,0.2849046618956112,0.28292113318367373
