checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
pos_v4b_99999,0,move the red block to the far side,0,True,0.7777,0.1777,True,True,33,600
pos_v4b_99999,0,move the red block to the far side,1,True,0.7697,0.1697,True,True,58,600
pos_v4b_99999,0,move the red block to the far side,2,True,0.7738,0.1738,True,True,40,600
pos_v4b_99999,0,move the red block to the far side,3,True,0.7971,0.1971,True,True,39,600
pos_v4b_99999,0,move the red block to the far side,4,True,0.7775,0.1775,True,True,42,600
pos_v4b_99999,0,move the red block to the far side,5,True,0.7808,0.1808,True,True,56,600
pos_v4b_99999,0,move the red block to the far side,6,True,0.8061,0.2061,True,True,40,600
pos_v4b_99999,0,move the red block to the far side,7,True,0.7582,0.1582,True,True,45,600
pos_v4b_99999,0,move the red block to the far side,8,True,0.7767,0.1767,True,True,42,600
pos_v4b_99999,0,move the red block to the far side,9,False,0.6132,0.0132,True,False,51,600
pos_v4b_99999,1,move the red block to the near side,0,False,0.75,0.0,False,False,49,600
pos_v4b_99999,1,move the red block to the near side,1,False,0.75,0.0,False,False,,600
pos_v4b_99999,1,move the red block to the near side,2,False,0.75,0.0,False,False,,600
pos_v4b_99999,1,move the red block to the near side,3,False,0.75,0.0,False,False,,600
pos_v4b_99999,1,move the red block to the near side,4,False,0.75,0.0,False,False,,600
pos_v4b_99999,1,move the red block to the near side,5,False,0.75,0.0,False,False,,600
pos_v4b_99999,1,move the red block to the near side,6,False,0.75,0.0,False,False,,600
pos_v4b_99999,1,move the red block to the near side,7,False,0.75,0.0,False,False,,600
pos_v4b_99999,1,move the red block to the near side,8,False,0.75,0.0,False,False,,600
pos_v4b_99999,1,move the red block to the near side,9,False,0.75,0.0,False,False,,600
pos_v4b_99999,2,move the blue block to the far side,0,False,0.6,0.0,False,False,,600
pos_v4b_99999,2,move the blue block to the far side,1,False,0.6,0.0,False,False,,600
pos_v4b_99999,2,move the blue block to the far side,2,False,0.6,0.0,False,False,,600
pos_v4b_99999,2,move the blue block to the far side,3,False,0.6,0.0,False,False,,600
pos_v4b_99999,2,move the blue block to the far side,4,False,0.6,0.0,False,False,,600
pos_v4b_99999,2,move the blue block to the far side,5,False,0.6,0.0,False,False,,600
pos_v4b_99999,2,move the blue block to the far side,6,False,0.6,0.0,False,False,67,600
pos_v4b_99999,2,move the blue block to the far side,7,False,0.6,0.0,False,False,,600
pos_v4b_99999,2,move the blue block to the far side,8,False,0.6,0.0,False,False,89,600
pos_v4b_99999,2,move the blue block to the far side,9,False,0.6,0.0,False,False,,600
pos_v4b_99999,3,move the blue block to the near side,0,False,0.75,0.0,False,False,,600
pos_v4b_99999,3,move the blue block to the near side,1,False,0.75,0.0,False,False,,600
pos_v4b_99999,3,move the blue block to the near side,2,False,0.75,0.0,False,False,,600
pos_v4b_99999,3,move the blue block to the near side,3,False,0.75,0.0,False,False,,600
pos_v4b_99999,3,move the blue block to the near side,4,False,0.75,0.0,False,False,,600
pos_v4b_99999,3,move the blue block to the near side,5,False,0.75,0.0,False,False,,600
pos_v4b_99999,3,move the blue block to the near side,6,False,0.75,0.0,False,False,429,600
pos_v4b_99999,3,move the blue block to the near side,7,False,0.75,0.0,False,False,,600
pos_v4b_99999,3,move the blue block to the near side,8,False,0.75,0.0,False,False,,600
pos_v4b_99999,3,move the blue block to the near side,9,False,0.75,0.0,False,False,,600
pos_v4b_99999,4,move the green block to the far side,0,False,0.6,0.0,False,False,122,600
pos_v4b_99999,4,move the green block to the far side,1,False,0.6,0.0,False,False,39,600
pos_v4b_99999,4,move the green block to the far side,2,False,0.6,0.0,False,False,26,600
pos_v4b_99999,4,move the green block to the far side,3,False,0.6,0.0,False,False,180,600
pos_v4b_99999,4,move the green block to the far side,4,False,0.6,0.0,False,False,38,600
pos_v4b_99999,4,move the green block to the far side,5,False,0.6,0.0,False,False,136,600
pos_v4b_99999,4,move the green block to the far side,6,False,0.6,0.0,False,False,56,600
pos_v4b_99999,4,move the green block to the far side,7,False,0.6,0.0,False,False,71,600
pos_v4b_99999,4,move the green block to the far side,8,False,0.6,0.0,False,False,58,600
pos_v4b_99999,4,move the green block to the far side,9,False,0.6,0.0,False,False,71,600
pos_v4b_99999,5,move the green block to the near side,0,False,0.75,0.0,False,False,274,600
pos_v4b_99999,5,move the green block to the near side,1,False,0.75,0.0,False,False,40,600
pos_v4b_99999,5,move the green block to the near side,2,False,0.75,0.0,False,False,142,600
pos_v4b_99999,5,move the green block to the near side,3,False,0.75,0.0,False,False,103,600
pos_v4b_99999,5,move the green block to the near side,4,False,0.75,0.0,False,False,160,600
pos_v4b_99999,5,move the green block to the near side,5,False,0.75,0.0,False,False,81,600
pos_v4b_99999,5,move the green block to the near side,6,False,0.75,0.0,False,False,20,600
pos_v4b_99999,5,move the green block to the near side,7,False,0.75,0.0,False,False,53,600
pos_v4b_99999,5,move the green block to the near side,8,False,0.75,0.0,False,False,222,600
pos_v4b_99999,5,move the green block to the near side,9,False,0.75,0.0,False,False,152,600
