checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
pos_v4b_run2_99999,0,move the red block to the far side,0,True,0.7785,0.1785,True,True,79,600
pos_v4b_run2_99999,0,move the red block to the far side,1,False,0.6,0.0,False,False,10,600
pos_v4b_run2_99999,0,move the red block to the far side,2,False,0.5996,-0.0004,False,False,10,600
pos_v4b_run2_99999,0,move the red block to the far side,3,False,0.664,0.064,True,True,38,600
pos_v4b_run2_99999,0,move the red block to the far side,4,True,0.7859,0.1859,True,True,39,600
pos_v4b_run2_99999,0,move the red block to the far side,5,True,0.775,0.175,True,True,40,600
pos_v4b_run2_99999,0,move the red block to the far side,6,True,0.7837,0.1837,True,True,39,600
pos_v4b_run2_99999,0,move the red block to the far side,7,True,0.8005,0.2005,True,True,10,600
pos_v4b_run2_99999,0,move the red block to the far side,8,False,0.5998,-0.0002,False,False,10,600
pos_v4b_run2_99999,0,move the red block to the far side,9,False,0.6517,0.0517,True,True,40,600
pos_v4b_run2_99999,1,move the red block to the near side,0,False,0.7411,-0.0089,True,False,70,600
pos_v4b_run2_99999,1,move the red block to the near side,1,False,0.732,-0.018,True,False,46,600
pos_v4b_run2_99999,1,move the red block to the near side,2,False,0.7462,-0.0038,True,False,42,600
pos_v4b_run2_99999,1,move the red block to the near side,3,True,0.6523,-0.0977,True,True,135,600
pos_v4b_run2_99999,1,move the red block to the near side,4,False,0.7314,-0.0186,True,True,70,600
pos_v4b_run2_99999,1,move the red block to the near side,5,False,0.75,0.0,False,False,10,600
pos_v4b_run2_99999,1,move the red block to the near side,6,False,0.8155,0.0655,False,True,115,600
pos_v4b_run2_99999,1,move the red block to the near side,7,False,0.7448,-0.0052,True,False,55,600
pos_v4b_run2_99999,1,move the red block to the near side,8,False,0.75,0.0,False,False,10,600
pos_v4b_run2_99999,1,move the red block to the near side,9,True,0.6455,-0.1045,True,True,91,600
pos_v4b_run2_99999,2,move the blue block to the far side,0,False,0.5899,-0.0101,False,True,40,600
pos_v4b_run2_99999,2,move the blue block to the far side,1,False,0.5872,-0.0128,False,False,50,600
pos_v4b_run2_99999,2,move the blue block to the far side,2,True,0.7469,0.1469,True,True,140,600
pos_v4b_run2_99999,2,move the blue block to the far side,3,True,0.7777,0.1777,True,True,77,600
pos_v4b_run2_99999,2,move the blue block to the far side,4,True,0.7608,0.1608,True,True,90,600
pos_v4b_run2_99999,2,move the blue block to the far side,5,True,0.7514,0.1514,True,True,81,600
pos_v4b_run2_99999,2,move the blue block to the far side,6,False,0.6046,0.0046,True,False,,600
pos_v4b_run2_99999,2,move the blue block to the far side,7,True,0.7736,0.1736,True,True,58,600
pos_v4b_run2_99999,2,move the blue block to the far side,8,True,0.7707,0.1707,True,True,95,600
pos_v4b_run2_99999,2,move the blue block to the far side,9,True,0.7606,0.1606,True,True,82,600
pos_v4b_run2_99999,3,move the blue block to the near side,0,True,0.6006,-0.1494,True,True,148,600
pos_v4b_run2_99999,3,move the blue block to the near side,1,True,0.6131,-0.1369,True,True,94,600
pos_v4b_run2_99999,3,move the blue block to the near side,2,False,0.7988,0.0488,False,False,186,600
