checkpoint,task_id,task_prompt,trial,success,block_x_final,displacement,direction_correct,block_lifted,gripper_close_step,steps_taken
vel_pickplace_99999,0,move the red block to the far side,0,False,0.6,0.0,False,False,1185,2000
vel_pickplace_99999,0,move the red block to the far side,1,False,0.6,0.0,False,False,469,2000
vel_pickplace_99999,0,move the red block to the far side,2,False,0.6,0.0,False,False,672,2000
vel_pickplace_99999,0,move the red block to the far side,3,False,0.6,0.0,False,False,434,2000
vel_pickplace_99999,0,move the red block to the far side,4,False,0.6,0.0,False,False,756,2000
vel_pickplace_99999,0,move the red block to the far side,5,False,0.6,0.0,False,False,498,2000
vel_pickplace_99999,0,move the red block to the far side,6,False,0.6,0.0,False,False,1784,2000
vel_pickplace_99999,0,move the red block to the far side,7,False,0.6,0.0,False,False,541,2000
vel_pickplace_99999,0,move the red block to the far side,8,False,0.6,0.0,False,False,464,2000
vel_pickplace_99999,0,move the red block to the far side,9,False,0.6,0.0,False,False,817,2000
vel_pickplace_99999,1,move the red block to the near side,0,False,0.75,0.0,False,False,1185,2000
vel_pickplace_99999,1,move the red block to the near side,1,False,0.75,0.0,False,False,969,2000
vel_pickplace_99999,1,move the red block to the near side,2,False,0.75,0.0,False,False,65,2000
vel_pickplace_99999,1,move the red block to the near side,3,False,0.75,0.0,False,False,1913,2000
vel_pickplace_99999,1,move the red block to the near side,4,False,0.75,0.0,False,False,758,2000
vel_pickplace_99999,1,move the red block to the near side,5,False,0.75,0.0,False,False,1314,2000
vel_pickplace_99999,1,move the red block to the near side,6,False,0.75,0.0,False,False,656,2000
vel_pickplace_99999,1,move the red block to the near side,7,False,0.75,0.0,False,False,65,2000
vel_pickplace_99999,1,move the red block to the near side,8,False,0.75,0.0,False,False,,2000
vel_pickplace_99999,1,move the red block to the near side,9,False,0.75,0.0,False,False,1536,2000
vel_pickplace_99999,2,move the blue block to the far side,0,False,0.6,0.0,False,False,137,2000
vel_pickplace_99999,2,move the blue block to the far side,1,False,0.6,0.0,False,False,183,2000
vel_pickplace_99999,2,move the blue block to the far side,2,False,0.6,0.0,False,False,139,2000
vel_pickplace_99999,2,move the blue block to the far side,3,False,0.6,0.0,False,False,172,2000
vel_pickplace_99999,2,move the blue block to the far side,4,False,0.6,0.0,False,False,175,2000
vel_pickplace_99999,2,move the blue block to the far side,5,False,0.6,0.0,False,False,198,2000
vel_pickplace_99999,2,move the blue block to the far side,6,False,0.6,0.0,False,False,193,2000
vel_pickplace_99999,2,move the blue block to the far side,7,False,0.6,0.0,False,False,162,2000
vel_pickplace_99999,2,move the blue block to the far side,8,False,0.6,0.0,False,False,209,2000
vel_pickplace_99999,2,move the blue block to the far side,9,False,0.6,0.0,False,False,219,2000
vel_pickplace_99999,3,move the blue block to the near side,0,False,0.75,0.0,False,False,184,2000
vel_pickplace_99999,3,move the blue block to the near side,1,False,0.75,0.0,False,False,174,2000
vel_pickplace_99999,3,move the blue block to the near side,2,False,0.75,0.0,False,False,182,2000
vel_pickplace_99999,3,move the blue block to the near side,3,False,0.75,0.0,False,False,202,2000
vel_pickplace_99999,3,move the blue block to the near side,4,False,0.75,0.0,False,False,178,2000
vel_pickplace_99999,3,move the blue block to the near side,5,False,0.75,0.0,False,False,188,2000
vel_pickplace_99999,3,move the blue block to the near side,6,False,0.75,0.0,False,False,174,2000
vel_pickplace_99999,3,move the blue block to the near side,7,False,0.75,0.0,False,False,182,2000
vel_pickplace_99999,3,move the blue block to the near side,8,False,0.75,0.0,False,False,198,2000
vel_pickplace_99999,3,move the blue block to the near side,9,False,0.75,0.0,False,False,168,2000
