step,q_target_0,q_target_1,q_target_2,q_target_3,q_target_4,q_target_5,q_target_6,gripper_norm,ee_x,ee_y,ee_z,block_x,block_y,block_z
0,0.007124782577527022,-1.03906523164211,0.03508522648195034,2.017891314654865,-0.03339500836356174,0.7530248929508907,0.024242626823605562,0.0,-0.11488670088143002,-0.03639257376539109,0.25143259237957016,0.6,-0.35,0.2849045486152053
1,0.009221160109791682,-1.0705798227395456,0.05070340876867796,2.0074795158179937,-0.04100692746859044,0.7263776827050443,0.03060944523467657,0.00014606191223859788,-0.11894912291227164,-0.04279051465666738,0.23878604148519614,0.6,-0.35,0.28490462996410054
2,0.00969532540289153,-1.1153340531290004,0.06402493930177888,2.004465749837304,-0.048559802553116774,0.7335858998915574,0.026809029945300322,0.0,-0.11975954052192517,-0.05256645076201429,0.22418471000961,0.6,-0.35,0.2849046537789269
3,0.0008109845501135249,-1.1483200388442891,0.06506677371510294,1.9919920763804706,-0.04130195461678701,0.7190259352785477,0.021834912961602226,0.0,-0.11484970061134349,-0.051144127085442075,0.2114702069106394,0.6,-0.35,0.2849046598325226
4,-0.007344805747505678,-1.1909066094246223,0.07807129061665319,1.9893866773601492,-0.03937942213657261,0.6988631499244518,0.03096318113161689,0.0,-0.10972657494413487,-0.060892698816288865,0.19118413888944985,0.6,-0.35,0.2849046613712183
5,-0.030630260744791027,-1.1462289134555563,-0.008836604871366172,1.8666102823332993,0.08602711877765923,0.7773049253582041,-0.08631823352593115,0.0,-0.09881566555731255,0.03448879558725979,0.2556300382511311,0.6,-0.35,0.28490466176232226
6,-0.07928604387301669,-1.048180632548374,-0.15009434917410114,1.713248003567588,0.22698050342587334,0.8960604177589353,-0.2512851291199818,0.0,-0.05450171412364456,0.12180762676767234,0.3599110066359141,0.6,-0.35,0.2849046618617326
7,-0.09774057180609208,-0.9296642285531916,-0.28996405573997674,1.5750558671191575,0.373465245114616,0.9707879733406972,-0.390422246628809,0.0,0.004258148820844271,0.1664288113617079,0.48755422470980814,0.6,-0.35,0.28490466188700053
8,-0.1117447381809683,-0.814128822758537,-0.4268959555736398,1.4090682802728338,0.5193531147878224,1.0204902817965054,-0.5372816711308155,0.0,0.07474663541565865,0.1705543797229839,0.607379595044714,0.6,-0.35,0.2849046618934232
9,-0.1106890945645368,-0.724884912464715,-0.5214615631047321,1.2725853176454431,0.6456508473666306,1.056104204596941,-0.673092088593146,0.0,0.14513575788875113,0.1397198665613693,0.7150502771361563,0.6,-0.35,0.2849046618950556
10,-0.12051403504764868,-0.2685980559550851,-0.7082836529111918,0.9286931321104228,1.163727910043141,1.116517439359496,-1.1875804194677797,0.0,0.22479521696009586,0.06987169365814941,0.8045994625317765,0.6,-0.35,0.2849046618954708
11,-0.13116084976744175,-0.11940631844494887,-0.7248887692312617,0.8993115857744469,1.3198736170299026,1.1227907819679674,-1.315832565869792,0.0,0.30294809442973514,-0.008916718144257027,0.86241910404401,0.6,-0.35,0.28490466189557623
12,-0.1214472258452779,0.06640038275788684,-0.7435017799740785,0.8831674526303446,1.4477901076784319,1.1266078294545727,-1.438453703022416,0.0017713358952999116,0.36613040003434055,-0.07143600670833236,0.8826925343786114,0.6,-0.35,0.28490466189560304
13,-0.12473426261605824,0.25952072249232594,-0.7583298889408469,0.879916604468056,1.5362248008613506,1.1287822054782028,-1.5054809880190347,0.0,0.43509962023076554,-0.12759157260370813,0.8675430495087565,0.6,-0.35,0.2849046618956097
14,-0.12354019807555411,0.47255189358395944,-0.7719240545912315,0.8774966294315114,1.5984930879735237,1.1262546450929019,-1.5577128520856198,0.00042158914652466777,0.5014900525721417,-0.1708160422731497,0.8235451630595401,0.6,-0.35,0.2849046618956112
15,-0.12216358173791037,0.6858392278269396,-0.7871618374908496,0.867259177012289,1.6306561282572536,1.1218533366990606,-1.5831021712350826,0.0,0.5586380028823167,-0.20781036547767245,0.7671206020085645,0.6,-0.35,0.2849046618956112
16,-0.12533304355489894,0.9546378974547376,-0.821649119155303,0.8595411750601156,1.6503770883774709,1.1160687109873288,-1.5989543621172058,0.0,0.6083259523480593,-0.24594396968267312,0.6978532184977744,0.6,-0.35,0.2849046618956112
17,-0.12898615028944183,1.057025575156287,-0.8503212032294382,0.8456875931271957,1.6612195772665888,1.1069179084035468,-1.6117401290027573,0.0,0.6491524348497522,-0.2972532780842963,0.6353950547874794,0.6,-0.35,0.2849046618956112
18,-0.13306409145584586,1.0538910421519962,-0.8588214282135355,0.8391007832417676,1.666012691096522,1.113301505086911,-1.6194299816897937,0.0008292335817217827,0.6769592901234919,-0.33970749364646635,0.5559398594547259,0.6,-0.35,0.2849046618956112
19,-0.13612453759160836,1.0539311149687598,-0.8584560479411968,0.8288820346527912,1.6696215799749414,1.1189044686441565,-1.6282616698990575,0.0,0.692867859732251,-0.36488148192468967,0.4669503305931182,0.6,-0.35,0.2849046618956112
20,-0.1302498854679266,1.0459221431718593,-0.8515127196679377,0.8429367384270157,1.6746889462051167,1.1083129366464906,-1.6299602010317658,0.0,0.6964005418423114,-0.3610569922118989,0.4213305402177432,0.6,-0.35,0.2849046618956112
