step,q_target_0,q_target_1,q_target_2,q_target_3,q_target_4,q_target_5,q_target_6,gripper_norm,ee_x,ee_y,ee_z,block_x,block_y,block_z
0,0.010579277374470952,-1.0280196955586463,0.039460455836879405,2.0108666904096637,-0.008991304281801143,0.7740622844638512,0.006431789159043966,0.0,-0.1172358879319704,-0.029131002441841136,0.2621926068099394,0.6,0.05,0.2849045486152053
1,0.015503113961853332,-1.0304354806576124,0.035696173523482644,1.988319668377551,-0.005045388532540385,0.7744975881170546,-0.0014019425030025179,0.00014984605398774147,-0.12204222675423984,-0.019770431291485265,0.2717900245126322,0.6,0.05,0.28490462996410054
2,0.006805742595281106,-1.080946567243702,0.05881373074501961,1.985453529057016,-0.02417629435636462,0.7605405933281346,0.008549499468295751,0.001081668612420559,-0.1244271899925601,-0.035466377888534566,0.24516728758403467,0.6,0.05,0.2849046537789269
3,0.002974823875825816,-1.134159307220438,0.07823047626247459,1.9851331146317326,-0.030846596402401033,0.7407799782783109,0.012169624938372925,0.0,-0.12273762012166492,-0.04889269176490526,0.22098632372011312,0.6,0.05,0.2849046598325226
4,0.007532498464256854,-1.1794328533573704,0.08322462891197824,1.9762113876044496,-0.017858584162609326,0.7137932940220757,0.004471912641776488,0.0,-0.11748033760716617,-0.054277147518668294,0.19986297175330542,0.6,0.05,0.2849046613712183
5,0.14814662108784082,-1.1217606146267227,-0.04908325035484262,1.8193442559817714,0.1325903396172488,0.8141036510152595,-0.12845322611098853,0.0,-0.14399822361498735,0.025558626068536386,0.2782888355987718,0.6,0.05,0.28490466176232226
6,0.3036524974478412,-1.0189951574345788,-0.19127591333863347,1.66924635225558,0.2789021299213172,0.9429035467078091,-0.2950659346402895,0.0,-0.17089602616392502,0.07745603749712394,0.39771809596918867,0.6,0.05,0.2849046618617326
7,0.4488901918550927,-0.9092016970210189,-0.3008742970954075,1.5329096803004696,0.41191698812669086,1.0349782670652847,-0.43181447937706263,0.0,-0.18034532360651737,0.09007745536151866,0.5320520608626856,0.6,0.05,0.28490466188700053
8,0.5893917554426789,-0.7994268168815106,-0.380676114806604,1.3905414684203556,0.5528452887139073,1.095794814661385,-0.5756312191113733,0.0,-0.1718475866478722,0.07877411563454934,0.6443949727148525,0.6,0.05,0.2849046618934232
9,0.6939878148636407,-0.7054421409265798,-0.41960905444327445,1.2552722507771348,0.6960290322934517,1.1349929946089503,-0.7083377858649407,0.0,-0.15222961766133408,0.06251872688532197,0.7257820453955088,0.6,0.05,0.2849046618950556
10,0.7428516895539197,-0.5992082300055726,-0.43872117497752083,1.1473568282068942,0.8298662617909207,1.1618545719097373,-0.8367117294817702,0.0,-0.10140770509767467,0.06687767100670926,0.7808947332606229,0.6,0.05,0.2849046618954708
11,0.7949055038907125,-0.4770301723786125,-0.4530849641927246,1.0194079334584762,0.9400523090365616,1.194982636643355,-0.9835566110327539,0.0,-0.041150939006702386,0.07424284444578631,0.8176779963078771,0.6,0.05,0.28490466189557623
12,0.8157640829924722,-0.3509432677560015,-0.46791527935714305,0.9145256486931086,1.0146748177806497,1.2071952748639583,-1.118137614466329,0.0008683264476656914,0.02702472074805781,0.08057627241683274,0.8476735839303823,0.6,0.05,0.28490466189560304
13,0.8369282189213068,-0.23060372533419315,-0.4743828326218089,0.8032030117130773,1.0609883557361541,1.2111137218235868,-1.2449934237032128,0.0009662969836592675,0.0975819416990682,0.08330441931452667,0.8698640718259602,0.6,0.05,0.2849046618956097
14,0.8457992146716975,-0.07130117348975418,-0.4889950736339024,0.6739220257212553,1.1008824322555995,1.2100084675676344,-1.3856655710792036,0.0,0.1832615933154606,0.08639030597169983,0.8802780094294554,0.6,0.05,0.2849046618956112
15,0.8489578623539928,0.10009870938744769,-0.5067478370007394,0.5555095237548078,1.1196191967312334,1.2075420324984656,-1.51143515019483,0.0010128389475345613,0.28629224349696974,0.08437099914799416,0.8746289554770241,0.6,0.05,0.2849046618956112
16,0.8552638373903516,0.27523392629352905,-0.5122803867305936,0.4325984166172585,1.132224130336916,1.21305373652999,-1.6205019361936865,0.001129670599490404,0.3931657609173037,0.08184347818733721,0.8402202126231425,0.6,0.05,0.2849046618956112
17,0.8593111768564536,0.4908640059374789,-0.5201636400564988,0.3112949482222714,1.131744960453754,1.2092234071405805,-1.6871565046036108,0.0009909088032245637,0.5037710222797254,0.07544392700134889,0.7752886778361613,0.6,0.05,0.2849046618956112
18,0.8513699205841094,0.7183955956694832,-0.532847240053733,0.21569421655177423,1.1311747161337384,1.1980469001548826,-1.732335518624657,1.799702060222626e-05,0.6079592493170857,0.06000398489494925,0.6727007192023488,0.6,0.05,0.2849046618956112
19,0.8450407526801533,0.9368586137752788,-0.5576695092286568,0.14995726717386007,1.1269505602617182,1.1862062980289627,-1.7431571316544048,0.0,0.6806496505401368,0.04536605983523391,0.5343108245684363,0.6,0.05,0.2849046618956112
20,0.8325743102410519,1.0223788973602352,-0.5905766442531917,0.1165813397571607,1.1203573113056184,1.1774428128688974,-1.7613346976317101,0.0,0.7151375080560549,0.020866023716100177,0.4102684720855863,0.6,0.05,0.2849046618956112
21,0.8344068228868031,1.0540895423838719,-0.5943976088754417,0.0951959591821044,1.1154976925549884,1.1754996562069917,-1.768617935824153,0.0,0.7121900873164152,0.026821817957747133,0.41967893649363,0.6,0.05,0.2849046618956112
