step,q_target_0,q_target_1,q_target_2,q_target_3,q_target_4,q_target_5,q_target_6,gripper_norm,ee_x,ee_y,ee_z,block_x,block_y,block_z
0,0.021901262239873542,-1.018603166072923,0.022071036252242493,1.9963171144601837,-0.024483927853165166,0.7646447012947069,0.0038904084677857664,0.0,-0.12178360700722793,-0.02562743038745368,0.2669913359524874,0.75,0.05,0.2849045486152053
1,0.02138430058394547,-1.0538076015627662,0.03156973538046648,1.9857191679794368,-0.022239097348182302,0.7554269179322659,0.004790146628866454,0.0,-0.122150215905236,-0.026780829030148223,0.25637073676159633,0.75,0.05,0.28490462996410054
2,0.015150619188450287,-1.0999224438702424,0.0548962025487052,1.9927455735418045,-0.03904844116761262,0.7332211474209924,0.0210329119860726,0.0,-0.12161455568518481,-0.04460337913313769,0.23069794784839887,0.75,0.05,0.2849046537789269
3,0.015477344108967506,-1.1562857925742729,0.07798524890830394,1.9868565389901027,-0.044149252812451634,0.7103444265938559,0.022306061801359967,0.0,-0.12176426815929862,-0.06002486460035338,0.20543652479520708,0.75,0.05,0.2849046598325226
4,0.029478197217044144,-1.1850327965185963,0.06796622654970852,1.9571526299131927,-0.00898969632917307,0.6954151393931873,0.0029786937588036633,0.0,-0.11969269293507537,-0.04860281268833394,0.1975758263999633,0.75,0.05,0.2849046613712183
5,0.1844490730240962,-1.1060331989544583,-0.07999360679863599,1.8003871447013151,0.15062938128851477,0.8193842785012184,-0.14798248453245155,0.0,-0.14920070499866656,0.030523229718619385,0.2806491676232524,0.75,0.05,0.28490466176232226
6,0.32293000403986427,-1.0165810032060625,-0.20660559285574864,1.666060466503699,0.28719485616906676,0.9337433182575208,-0.29263544395058116,0.0,-0.177231740014206,0.07921150868223449,0.40807567094241803,0.75,0.05,0.2849046618617326
7,0.4803027221710673,-0.9066592864807095,-0.3150720275105727,1.5282097862895787,0.4254504822160259,1.023716641648711,-0.43411761231185686,0.0,-0.1845439123714014,0.08958451295262444,0.5395819427766483,0.75,0.05,0.28490466188700053
8,0.6161825546787634,-0.8005892197945222,-0.38492491206543833,1.3859453361344,0.5785005588032451,1.083077606950372,-0.5799507963655759,0.0009023539270162583,-0.17747881611915217,0.0763957222955485,0.6485998562484047,0.75,0.05,0.2849046618934232
9,0.710690452976422,-0.6933684575153372,-0.4244832238821217,1.2470002591862501,0.7164598713399052,1.125056131885,-0.7194053993272493,0.0,-0.15498838219360572,0.06175752675372785,0.7293075334966592,0.75,0.05,0.2849046618950556
10,0.7163588082242336,-0.646099424892471,-0.4362273230954883,1.2129838925821137,0.7625985283675817,1.1355207003171484,-0.7538307030678091,0.0,-0.10494341656066969,0.07296261520004155,0.7664843599077891,0.75,0.05,0.2849046618954708
11,0.7835068537129746,-0.5423497956293166,-0.4489401976384624,1.0918116849958166,0.872884654584793,1.1692850110399462,-0.8858133302741316,0.0,-0.07028320316016429,0.07050091459017373,0.8036636881323157,0.75,0.05,0.28490466189557623
12,0.8108473791322277,-0.4092556231381498,-0.46380632108781517,0.9742687998034796,0.9720357731707896,1.184755000219299,-1.0352019450525685,0.0,-0.009409129098363153,0.07878412955269579,0.8358510473114013,0.75,0.05,0.28490466189560304
13,0.8347095266230231,-0.2890577917093442,-0.4725647560507156,0.8607425621564444,1.048336341277522,1.2003578084266961,-1.1704891370784631,0.002482396987438202,0.06042928838294967,0.08517550297201931,0.8590715633523258,0.75,0.05,0.2849046618956097
14,0.8470703126652925,-0.13577851039857025,-0.48040821296516567,0.7327491344788697,1.088610666434451,1.2076691388801426,-1.3129646103812982,0.0006387452494204045,0.1399014381583416,0.0874845787790784,0.8754879632418279,0.75,0.05,0.2849046618956112
15,0.855430421082221,0.03700528254593416,-0.49349597140112444,0.6008859622560492,1.1155585374824344,1.2123266594635664,-1.4600759701230845,0.0,0.2349528886238918,0.08818688285545473,0.8772967758895484,0.75,0.05,0.2849046618956112
16,0.8522687362386925,0.22990551301503936,-0.5060231010727219,0.46586663001155976,1.1282524873456063,1.209475906110024,-1.5861002112818074,6.868068292737008e-05,0.3438959917963118,0.0839295677049286,0.8584461387302983,0.75,0.05,0.2849046618956112
17,0.8556172525156434,0.427536374450316,-0.5123482697352082,0.3426799753748524,1.1288204162138373,1.213854792366873,-1.666309344712426,0.0013016255761384966,0.4550620244000401,0.07774822756577081,0.8074567660343969,0.75,0.05,0.2849046618956112
18,0.85367006402455,0.6405497224577494,-0.5283812171801319,0.2559159128369488,1.1263449409838855,1.2024994795498722,-1.711810014591391,0.0,0.5661057711018319,0.06617585711524476,0.7219891497748476,0.75,0.05,0.2849046618956112
19,0.8462145694791041,0.8676668381140415,-0.547804072168002,0.17244116377889296,1.1211800685063444,1.19329426400944,-1.734563156534288,0.0,0.6560857764429698,0.04815867812714994,0.5962092599001492,0.75,0.05,0.2849046618956112
20,0.8341154394788151,1.0091368117625412,-0.5768758174318063,0.13517778997760788,1.1116792552900803,1.1813216997524307,-1.7462307736597562,0.0,0.7056471488173504,0.029662008820660394,0.4458830428374799,0.75,0.05,0.2849046618956112
21,0.8421926317251325,1.038750623350871,-0.5847437970816733,0.10923713607909748,1.1117318675000705,1.1737224519220621,-1.7586937618860228,0.0,0.7089200647547679,0.032317181558338993,0.4232671226598059,0.75,0.05,0.2849046618956112
22,0.8442176819860165,1.051267204579949,-0.5857796917320937,0.0897714030815086,1.1144909855736123,1.171696747520146,-1.7672746376568726,0.0,0.7080336895753515,0.03750778610076692,0.4213154341997727,0.75,0.05,0.2849046618956112
23,0.8405136337744297,1.0514906338315555,-0.5890290814554879,0.08169407605720076,1.1162624348248942,1.1731384766471442,-1.770431687763679,0.0,0.7123520466824868,0.02874909546171442,0.41859941593838157,0.75,0.05,0.2849046618956112
24,0.8429379326846671,1.049663592964925,-0.5870077801393294,0.08160478753424127,1.1131630739752547,1.1670903551217116,-1.7762454997687567,0.0,0.711965267181981,0.03244710329340646,0.4198623381484651,0.75,0.05,0.2849046618956112
25,0.8421313362893397,1.0478645098774317,-0.5900858501298274,0.07644787433787816,1.1131446789971897,1.1675986378322598,-1.7740995590251663,0.0,0.7129283251229149,0.030990364650122698,0.41817760969330253,0.75,0.05,0.2849046618956112
26,0.8452677114559266,1.0463999882136163,-0.5854289063057472,0.07961694890900242,1.1140556806381436,1.1630315198776018,-1.7753969292699145,0.0,0.7122482177341449,0.034014295157333715,0.4205828506209629,0.75,0.05,0.2849046618956112
27,0.8418156555914877,1.048072911822752,-0.5838741309388031,0.07419116815285481,1.1171451364995943,1.1655549385942863,-1.774860069816895,0.0,0.7127483695732207,0.03202830058602679,0.41977157848451874,0.75,0.05,0.2849046618956112
28,0.8422236475837843,1.0471777969273688,-0.5802287287372379,0.06827430052043007,1.1166505302712029,1.1715307951431702,-1.7788727480311282,0.0,0.7118146005239855,0.031028212695109428,0.4184712552602,0.75,0.05,0.2849046618956112
29,0.8416468630550855,1.0458710037341872,-0.5836986533718742,0.0716490058919361,1.1179994095718304,1.1683182884584058,-1.7775385392082372,0.0,0.7121669169358198,0.0321130475533111,0.419097423261139,0.75,0.05,0.2849046618956112
30,0.8507671821321467,1.0545734449444422,-0.5880401109320075,0.06550785929504516,1.111789882430891,1.1709832379888452,-1.7801722569451446,0.0,0.7104893512065505,0.035422027739776346,0.41574345477331065,0.75,0.05,0.2849046618956112
31,0.8420398533115949,1.051633917449635,-0.5888869514145758,0.06897252118344802,1.1146822676182464,1.1770981974767778,-1.7784157144085397,0.0,0.7118030396546982,0.02902054902924876,0.41568381144751715,0.75,0.05,0.2849046618956112
32,0.8448407602147212,1.0519251443156497,-0.5897722306485074,0.0698397443126162,1.1178383570366037,1.1745500715645538,-1.7725805691775132,0.0,0.7113405883522258,0.03161274931569719,0.41629230803826617,0.75,0.05,0.2849046618956112
33,0.8433813582246816,1.046900898423162,-0.5905981971071568,0.07093781501330121,1.115674567344075,1.1738635542873395,-1.7729938670135694,0.0,0.7113737151529749,0.031762311312404125,0.416462235308011,0.75,0.05,0.2849046618956112
34,0.8438843305319004,1.0468348481699499,-0.5905695165377072,0.06819057861361519,1.115093003037558,1.170504089774771,-1.777359532590499,0.0,0.7130975217567198,0.030073801590826232,0.41619835970848185,0.75,0.05,0.2849046618956112
35,0.8451732833521377,1.052657871110543,-0.589326918138235,0.06611189281289637,1.1151745583948534,1.1747730075890457,-1.7772080078728556,0.0,0.7113095267220189,0.03174993407738209,0.41544818633758385,0.75,0.05,0.2849046618956112
36,0.8437973572784105,1.0493958972296842,-0.5897242034227426,0.0709930358454557,1.1151598938668854,1.169666330184977,-1.7756352304931102,0.0,0.7125503878242312,0.031321064053752956,0.41708119542279143,0.75,0.05,0.2849046618956112
37,0.8429342512771119,1.0489054711873151,-0.5918390984315136,0.06952589849438331,1.1132012789296974,1.1700032335045003,-1.7775540445604308,0.0,0.7135482400461273,0.029289984742547258,0.41603466347035684,0.75,0.05,0.2849046618956112
38,0.8459899115830527,1.0472893950624258,-0.5898215306806087,0.07293055226074732,1.1169413767425664,1.173181749943378,-1.7782602331527504,0.0,0.7104520692964379,0.03389145838156748,0.41722182314371686,0.75,0.05,0.2849046618956112
39,0.8487594344867717,1.04569102553099,-0.588447663520963,0.07215979858936515,1.1149167714295227,1.171194748720602,-1.780667733147827,0.0,0.7101286143398968,0.03552470288863401,0.4174735841400935,0.75,0.05,0.2849046618956112
40,0.8433741794799492,1.0488713393986182,-0.5928508097615399,0.08085474167491705,1.1178157170636007,1.1667438831195225,-1.7751895318176427,0.0,0.7127861272884947,0.03183973851000966,0.4189172633264367,0.75,0.05,0.2849046618956112
41,0.8423881144663095,1.0480993552221862,-0.5901477085177824,0.08055358774149385,1.1162772279890723,1.1711060598857466,-1.7758578659639173,0.0,0.7117277533461798,0.03142573973149283,0.4187048734888144,0.75,0.05,0.2849046618956112
42,0.8377429144132553,1.048966279356939,-0.5932795757894376,0.07977192350246826,1.1187031782780799,1.1720723540188094,-1.775331165189921,0.0,0.7131273202408787,0.028360183682996865,0.41794616980212296,0.75,0.05,0.2849046618956112
43,0.8376613712359096,1.0436689791548759,-0.5916166967376446,0.08120209852234048,1.1191737295351556,1.1654309741681115,-1.7752618188389038,0.0004292468191981316,0.7142321593262253,0.029111215746361496,0.41971947180414815,0.75,0.05,0.2849046618956112
44,0.8392303871359028,1.0464019685563053,-0.5906506367282216,0.07744396463079398,1.1217133942340196,1.1699246846169473,-1.7768297842127958,0.0,0.7123752921506172,0.03115857908080783,0.4188307887096074,0.75,0.05,0.2849046618956112
45,0.8405135417392409,1.0440422155063604,-0.5877681546447697,0.07820436439614717,1.1181491421205554,1.1729769515711033,-1.7744174722118662,0.0,0.7113458153243237,0.031231470768466024,0.41884421245858683,0.75,0.05,0.2849046618956112
